Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
1,11/01/2015,ಗಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್ ,Rural Development and Panchayat Raj,ಬಹು ಗ್ರಾಮ ಕುಡಿಯುವ ನೀರಿನ ಯೋಜನೆ,Multi Village Drinking Water Project,ಉಮೇಶ್ ಜಾಧವ್ ಜಿ,Umesh Jadhav g
2,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆಯ ವಿಭಜನೆ ,Breakdown of the Great Bangalore Metropolitan Corporation,ಚೆಲುವರಾಯಸ್ವಾಮಿ ಎನ್ ,Cheluvaraswamy N.
3,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಮೈಸೂರು ಮಹಾನಗರ ಪಾಲಿಕೆ ರಸ್ತೆಗಳ ವಿವಿರ ,Mysore metropolitan corporation roads,ತನ್ವೀರ್ ಸೇಠ್,Tanvir Seth
4,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆಯನ್ನು ವಿಭಜಿಸು ನಿರ್ಧಾರ ಕೈಬಿಡುವುದು ,Deciding to break down the huge Bangalore Metropolitan Palike,ಗೋಪಾಲಯ್ಯ. ಕೆ,Gopalaiah. K.
5,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಮೆಟ್ರೋ ರೃಲು ನಿಲ್ದಾಣಗಳಲ್ಲಿ ಸಾರ್ವಜನಿಕ ಶೌಚಾಲಯ ನಿರ್ಮಿಸುವುದು ,Building a public toilet at metro station stations,ಗೋಪಾಲಯ್ಯ. ಕೆ,Gopalaiah. K.
6,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ವಿವಿಧ ಬಡಾವಣೆಗಳಲ್ಲಿ ಮಾಡಲಾಗಿರುವ ಢಿ ನೋಟಿಫಿಕೇಶನ್ ,Datification done in various locations,ಗೋಪಾಲಯ್ಯ. ಕೆ,Gopalaiah. K.
7,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಅನಧಿಕೃತ ನಲ್ಲಿ ಸಂಪರ್ಕಗಳು,Connections at unauthorized,ಡಾ.ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಳ್ಳಿ,Dr. Gurupappa Nagamarapally
8,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಅನಧಿಕೃತ ಜಾಹಿರಾತುಗಳು,Unauthorized ads,ಡಾ.ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಳ್ಳಿ,Dr. Gurupappa Nagamarapally
9,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಕೊಳಗೇರಿ ಪ್ರದೇಶಗಳ ಅಭಿವೃದ್ಧಿ ,Development of slum areas,ಡಾ. ಶಿವರಾಜ್ ಪಾಟೀಲ್ ಎಸ್ ,Dr. Shivaraj Patil S.
10,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ನಗರ ಅಭಿವೃದ್ಧಿ ಯೋಜನೆಗಳಿಗೆ ಬಿಡುಗಡೆಯಾದ ಅನುದಾನ ,Grants released to Urban Development Projects,ಡಾ. ಶಿವರಾಜ್ ಪಾಟೀಲ್ ಎಸ್ ,Dr. Shivaraj Patil S.
11,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಎಲಿವೇಟೆಡೆ ಹೆದ್ದಾರಿಯ ನಿರ್ಮಾಣ ಯೋಜನೆ ,Elvidea Highway Construction Project,ಡಾ ಸುಧಾಕರ್ ಕೆ,Dr. Sudhakar K.
12,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಚಿಕ್ಕಬಳ್ಳಾಪುರ ನಗರ ಅಭಿವೃದ್ಧಿ ಪಡಿಸುವುದು ,Development of Chikkaballapur city,ಡಾ ಸುಧಾಕರ್ ಕೆ,Dr. Sudhakar K.
13,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಅನುಮೋದನೆಗೊಂಡ ಬಡಾವಣೆಗಳ ನಕ್ಷೆ ಒದಗಿಸುವುದು ,Providing a map of approved areas,ಕ್ಯಾತಸಂದ್ರ ಎನ್ ರಾಜಣ್ಣ,Kathasandra N Rajanna
14,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಬೆಂಗಳೂರು ಅಭಿವೃದ್ಧಿ ಪ್ರಾಧಿಕಾರದಿಂದ ನೂತನ ಯೋಜನೆಗಳು,New Projects from Bangalore Development Authority,ಐಹೋಳೆ ಡಿ.ಮಹಾಲಿಂಗಪ್ಪ,Ihole D. Mahalingappa
15,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆ ವ್ಯಾಪ್ತಿ ವಿಸ್ತರಣೆ  ,Expansion of massive Bangalore Metropolitan Bureau,ಹ್ಯಾರಿಸ್ ಎನ್ ಎ ,Harris N. A.
16,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆ ವಿಭಜನೆ ,Massive Bangalore Metropolitan Pollution Division,ಹ್ಯಾರಿಸ್ ಎನ್ ಎ ,Harris N. A.
17,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆ ವ್ಯಾಪ್ತಿಯಲ್ಲಿರುವ ವಿವಿಧ ವರ್ಗಗಳ ಸಿಬ್ಬಂಧಿಯನ್ನು ಭರ್ತಿ ಮಾಡುವುದು ,Fill in the staff of different categories within the Bangalore Metropolitan Bureau,ಹ್ಯಾರಿಸ್ ಎನ್ ಎ ,Harris N. A.
18,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಭೂ ಸ್ವಾಧೀನದಿಂದ ಕೈಬಿಟ್ಟ ಪ್ರಕರಣಗಳು,Cases of land acquisition,ರೇವಣ್ಣ ಹೆಚ್ ಡಿ,Revanna H.D.
19,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಕಾನೂನು ಬಾಹಿರವಾಗಿ ಭೂಸ್ವಾಧೀನದಿಂದ ಕೈಬಿಟ್ಟ ಪ್ರಕರಣ,Unlawful case of land acquisition,ರೇವಣ್ಣ ಹೆಚ್ ಡಿ,Revanna H.D.
20,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಅನದಕೃತ ಜಿಟex ಹಾಗು hoಡಿಜiಟಿgs ಕುರಿತು,An unnamed jet ex and ho dja i t gs,ರವಿ ಸುಬ್ರಹ್ಮಣ್ಯ ಎಲ್.ಎ,Ravi Subramanya L.A.
21,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆಯ ಒಡೆತನದಲ್ಲಿರುವ ಮಳಗೆಗಳು ಮತ್ತು ಕಟ್ಟಡಗಳು,Rainforests and buildings owned by the Bangalore Metropolitan Corporation,ಜಗದೀಶ್ ಕುಮಾರ್ ಆರ್,Jagdish Kumar R.
22,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಬಹುಮಹಡಿ ಕಟ್ಟಡಗಳ ನಿರ್ಮಿಸಲು ಅನುಸರಿಸಬೇಕಾದ ಮಾನದಂಡ ,The criteria for building multi-storey buildings,ಅಖಂಡ ಶ್ರೀನಿವಾಸಮೂರ್ತಿ ಆರ್,Akhand Srinivas Murthy R.
23,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ವಿವಿಧ ಯೋಜನೆಗಳ ಅಡಿಯಲ್ಲಿ ಕೈಗೊಳ್ಳಲಾಗಿರುವ ಕಾಮಗಾರಿಗಳು ,Works under various schemes,ಅಖಂಡ ಶ್ರೀನಿವಾಸಮೂರ್ತಿ ಆರ್,Akhand Srinivas Murthy R.
24,03/02/2015,ನಗರಾಭಿವೃದ್ಧಿ,Urban Development Department,ಸಿಗ್ನಲ್ ಮುಕ್ತ ಕಾರಿಡಾರ್ ರಸ್ತೆ,Signal free corridor road,ಅರವಿಂದ ಲಿಂಬಾವಳಿ ,Aravinda Limbavali
