Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
1,04/07/2016,ವದ್ಯಕಿಯ ಶಿಕ್ಷಣ,Academic Education,ಸರ್ಕಾರಿ ಹಾಗೂ ಖಾಸಗಿ ವೈದ್ಯಕಿಯ ಶಿಕ್ಷಣ ಕೋರ್ಸಗಳ ಪ್ರವೇಶ ಶುಲ್ಕ,Entrance fee for government and private doctor education courses,ಸಂಕನೂರ .ಎಸ್.ವ್ಹಿ,Sankanura S V
2,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ರಾಜ್ಯದಲ್ಲಿ ಉಂಟಾಗಿರುವ ಡೆಂಗ್ಯೂ ಜ್ವರ/ಚಿಕನ್ ಗುನ್ಯಾ ಕುರಿತು,Regarding dengue fever / chicken gungaloo in the state,ಸಮಣ್ಣ ಮ ಬೇವಿನಮರದ,Samanna Ma Bevinamara
3,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಹಾವೇರಿ ಜಿಲ್ಲೆಯಲ್ಲಿನ ಹಾಸ್ಟೆಲ್‌ಳ ಕುರಿತು,About the hostel in Haveri district,ಸಮಣ್ಣ ಮ ಬೇವಿನಮರದ,Samanna Ma Bevinamara
4,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ರಾಜ್ಯದಲ್ಲಿ ಹೆಚ್ಚುತ್ತಿರುವ ಸಾಕ್ರಮಿಕ ರೋಗಗಳ ಬಗ್ಗೆ,Regarding increasingly serious diseases in the state,ಸೋಮಣ್ಣ .ವಿ,Somanna V
5,04/07/2016,ಮಾಹಿತಿ ತಂತ್ರಜ್ಞಾನ,Information technology,"ಪ್ರವಾಸಿ ತಾಣಗಳಾದ ಮುತ್ತತ್ತಿ, ಶಿವನಸಮುದ್ರ, ಶ್ರೀರಂಗಪಟ್ಟಣ ನದಿಗಳ ಬಗ್ಗೆ","About the tourist destinations like Muthathi, Shivanasamudra and Srirangapatna rivers",ನಾಗರಾಜು .ಎಸ್,Nagaraja S
6,04/07/2016,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,"ದಿ:ದೇವರಾಜ ಅರಸರ ಜನ್ಮ ಸ್ಥಳ ಬೆಟ್ಟದತುಂಗ, ಕಲ್ಲಹಳ್ಳಿಯನ್ನು ಅಭೀವೃದ್ಧಿಪಡಿಸುವ ಬಗ್ಗೆ","The: Birthplace of Devaraja kings, hilltadanga, about the development of Kallahalli",ನಾಗರಾಜು .ಎಸ್,Nagaraja S
7,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ಮೈಸೂರು ಮತ್ತು ಚಾಮರಾಜನಗರ ಜಿಲ್ಲೆಯಲ್ಲಿ ಡೆಂಗ್ಯೂ ಜ್ವರದ ಬಗ್ಗೆ,About Dengue fever in Mysore and Chamarajanagar district,ನಾಗರಾಜು .ಎಸ್,Nagaraja S
8,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ದಕ್ಷಿಣ ಕನ್ನಡ ಮತ್ತು ಉಡುಪಿ ಜಿಲ್ಲೆಯಲ್ಲಿ ಡಯಾಲಿಸಿಸ್ ಸೌಲಭ್ಯ ಹೊಂದಿರುವ ಸರ್ಕಾರಿ ಆಸ್ಪತ್ರೆಗಳ ಕುರಿತು,About Government hospitals with dialysis facility in Dakshina Kannada and Udupi district,ಪತಾಪಚಂದ್ರ ಶೆಟ್ಟಿ .ಕೆ,Pratapachandra Shetty K
9,04/07/2016,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃಧ್ಧಿ,Women and Child Development,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಕಲ್ಯಾಣ ಇಲಾಖೆ ಹುದ್ದೆಗಳ ಕುರಿತು,About Women and Child Welfare Department posts,ಪ್ರಾಣೇಶ್ .ಎಂ.ಕೆ,Pranesha M K
10,04/07/2016,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ,Health and family welfare,ರಾಷ್ಟ್ರೀಯ ಸ್ವಾಸ್ಥ್ಯ ಭೀಮಾ ಯೋಜನೆ ಕುರಿತು,About the National Wellness Bhima Scheme,ಪ್ರಾಣೇಶ್ .ಎಂ.ಕೆ,Pranesha M K
