Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
1,13/02/2013,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ ಇಲ್ಯಾಖೆ,Health and Family Welfare Department,ಮಹಿಳಾ ವೈದ್ಯರ ನೇಮಕಾತಿ,Appointment of women doctors,ಅಮರೇಶ್,Amaresh
2,13/02/2013,ಪಶುಸಂಗೋಪನ,Animal husbandry,ಬೇಸಿಗೆಯಲ್ಲಿ ಗೋಶಾಲೆ ಮೇವು ಹಾಗೂ ನೀರಿನ ಲಭ್ಯತೆ,Govt feeding and water availability in the summer,ನರೇಂದ್ರ ಸ್ವಾಮಿ ಪಿ.ಎಮ್,Narendra Swami PM
3,13/02/2013,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ,Women and Child Development,40 ವರ್ಷ ಮೀರಿರುವ ವಿವಾಹವಾಗದೆ ಇರುವ ಹೆಣ್ಣು ಮಕ್ಕಳ ಸರ್ವೆ,Female Survey of Unmarried Women Over 40 Years,ರಾಜು.ಕೆ,Raju K 
4,13/02/2013,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ ಇಲ್ಯಾಖೆ,Health and Family Welfare Department,ಸರ್ಕಾರಿ ಆಸ್ಪತ್ರೆ,Government Hospital,ಬಂಡೆಪ್ಪ ಕಾಶೆಂಪೂರ್,Bandeppa kāśempūr
5,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಪ್ರಥಮ ದರ್ಜೆ ಸಹಾಯಕ ದ್ವಿತೀಯ ದರ್ಜೆ ಸಹಾಯಕರ ಬಡ್ತಿ,Promotion of First Class Assistant Second Grade Assistant,ನಾಡಗೌಡ ವೆಂಕಟರಾವ್,Nadgowda Venkatrao
6,13/02/2013,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ ಇಲ್ಯಾಖೆ,Health and Family Welfare Department,ತಂಬಾಕು ಸೇವನೆಯಿಂದ ದುಷ್ಪರಿಣಾಮಗಳು,Effects of tobacco consumption,ರೊಷನ್ ಬೇಗ್ .ಆರ್,Roshan Baig
7,13/02/2013,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ,Women and Child Development,ಅಂಗನವಾಡಿ ಕೇಂದ್ರಗಳ ವಿವರ,Details of Anganwadi Centers,ಸುನೀಲ್ ವಿ.ಹೆಗಡೆ,Sunil V  Hegade
8,13/02/2013,ಯೋಜನೆ ಮತ್ತು ಸಾಂಖ್ಯಿಕ,Plan and Numerical,ಬಯಲು ಸೀಮೆ ಪ್ರದೇಶಾಭಿವೃದ್ಧಿ ಯೋಜನೆಯಡಿಯಲ್ಲಿ ಅನುದಾನ,Grants under the Plain Region Territory Development Project,ಗೋಪಲ ಭಂಡಾರಿ.ಹೆಚ್,Gopal Bhandari
9,13/02/2013,ಪರಿಸರ,Environment,ಪರಿಸರ ಮಾಲಿನ್ಯ ತಡೆಗಟ್ಟುವುದು,Environmental pollution prevention,ರವಿಸುಬ್ರಮಣ್ಯ ಎಲ್.ಎ,Ravi Brammanya L A 
10,13/02/2013,ಮುಜರಾಯಿ,Muzarai,ದೇವಸ್ಥಾನಗಳಿಗೆ ಮಂಜೂರಾದ ಅನುದಾನ,Grants sanctioned to temples,ಮಹದೇವಪ್ಪ ಹೆಚ್.ಸಿ,Mahadevappa HC
11,13/02/2013,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ,Women and Child Development,ಅತ್ಯಾಚಾರಕ್ಕೊಳಗಾಗುವ ಮಹಿಳೆಯರಿಗೆ ಪರಿಹಾರ,Relief for women who are raped,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
12,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಸರ್ವ ಶಿಕ್ಷಣ ಅಭಿಯಾನದಲ್ಲಿ ಶಾಲಾ ಕಟ್ಟಡಗಳ ಹಣ ದುರುಪಯೋಗ,Misuse of school buildings in the Sarva Shiksha Abhiyan,ಸುಭಾಷ್ ಆರ್.ಗುತ್ತೇದಾರ್,Subhash R Gauthdar
13,13/02/2013,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ ಇಲ್ಯಾಖೆ,Health and Family Welfare Department,ಹೊಸದುರ್ಗ ತಾಲ್ಲೂಕು ಸಾರ್ವಜನಿಕ ಆಸ್ಪತ್ರೆ,Public hospital for Hosadurga Taluk,ಗೂಳಿಹಟ್ಟಿ .ಡಿ ಶೇಖರ,Gulluti D Shekhar
14,13/02/2013,ಮುಜರಾಯಿ,Muzarai,ದೇವಾಲಯಗಳಿಗೆ ಹಣ ಬಿಡುಗಡೆ,Release money to temples,ಮಾಲಕರೆಡ್ಡಿ ಎ.ಬಿ,Malarreddy AB
15,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಕನಿಷ್ಠ ಸಂಖ್ಯೆಯ ದಾಖಲಾತಿ ಇರುವ ಕನ್ನಡ ಶಾಲೆಗಳು,Kannada schools with a minimum number of records,"ಹ್ಯಾರಿಸ್ ಎನ್ ,ಎ",Harris N A
16,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಪ್ರೌಢ ಶಾಲೆಗಳನ್ನು ಮೇಲ್ದರ್ಜೆಗೇರಿಸುವ ಕುರಿತು,About upgrading secondary schools,ಅಭಯ್ ಪಾಟೀಲ್,Abhay Patil
17,13/02/2013,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,ಸರ್ಕಾರಿ ಪದವಿ ಕಾಲೇಜುಗಳ ಪ್ರಾರಂಭ,Government Graduate Colleges,ಅಭಯ್ ಪಾಟೀಲ್,Abhay Patil
18,13/02/2013,ಪಶುಸಂಗೋಪನೆ,Animal husbandry,ಪಶುಸಂಗೋಪನೆ ಇಲಾಖೆ ಯೋಜನೆಗಳು,Animal Husbandry Department Projects,ಅಮರೇಶ್,Amaresh
19,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಶಾಲಾ ಮಕ್ಕಳಿಗೆ ಉಚಿತ ಸಮವಸ್ತ್ರ,Free uniform for school children,ಅಮರೇಶ್,Amaresh
20,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಾಲೆಗಳ ದೈಹಿಕ ಶಿಕ್ಷಕರ ಕೊರತೆ,Lack of Physical Teachers of Primary and High Schools,ಬಂಡೆಪ್ಪ ಕಾಶೆಂಪೂರ್,Bandeppa kāśempūr
21,13/02/2013,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,ಪ್ರಥಮ ದರ್ಜೆ ಕಾಲೇಜುಗಳು,First-class colleges,ಬಂಡೆಪ್ಪ ಕಾಶೆಂಪೂರ್,Bandeppa kāśempūr
22,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಶಿಕ್ಷಣ ಸಂಸ್ಥೆಗಳ ಅನುಮೋದನೆ,Approval of educational institutions,ಬಗಲಿ ಸಾರ್ವಭೌಮ ಸಾತಗಾಡ,Bagali sārvabhauma sātagāḍa
23,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಪ್ರಾಥಮಿಕ ಶಿಕ್ಷಕರ ನಿಯೋಜನೆ,Appointment of Primary Teacher,ಬಗಲಿ ಸಾರ್ವಭೌಮ ಸಾತಗಾಡ,Bagali sārvabhauma sātagāḍa
24,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಇಂಡಿ ಕ್ಷೇತ್ರ ಶಿಕ್ಷಣಾಧಿಕಾರಿಗಳ ಕಾರ್ಯಾಲಯ,Office of Indi Field Officers,ಬಗಲಿ ಸಾರ್ವಭೌಮ ಸಾತಗಾಡ,Bagali sārvabhauma sātagāḍa
25,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಜಿಲ್ಲೆ ಯಲ್ಲಿ ಕ್ಷೇತ್ರ ಶಿಕ್ಷಣಾಧಿಕಾರಿಗಳ ಕಾರ್ಯಾಲಯ,Field Officers Office in the District,ಬಗಲಿ ಸಾರ್ವಭೌಮ ಸಾತಗಾಡ,Bagali sārvabhauma sātagāḍa
26,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಪದವೀಧರ ಶಿಕ್ಷಕರ ಲಭ್ಯತೆ,Availability of Graduate Teachers,ಬಗಲಿ ಸಾರ್ವಭೌಮ ಸಾತಗಾಡ,Bagali sārvabhauma sātagāḍa
27,13/02/2013,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ ಇಲ್ಯಾಖೆ,Health and Family Welfare Department,ಪ್ರಾಥಮಿಕ ಆರೋಗ್ಯ ಕೇಂದ್ರಗಳಲ್ಲಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿರುವ ಆಯುಷ್ ವೈದ್ಯರು,Ayush doctors working at primary health centers,ಮಹದೇವಪ್ಪ ಹೆಚ್.ಸಿ,Mahadevappa HC
28,13/02/2013,ಮುಜರಾಯಿ,Muzarai,ಮುಜರಾಯಿ ಇಲಾಖೆಯಿಂದ ಅನುದಾನ ಬಿಡುಗಡೆ,Release of funds from the Muzrai Department,ಶರಣಪ್ರಕಾಶ ರುದ್ರಪ್ಪ ಪಾಟೀಲ್,Śaraṇaprakāśa Rudrappa Patil
29,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಪ್ರೌಢ ಶಾಲೆ ಮತ್ತು ಕಿರಿಯ ಮಹಾವಿದ್ಯಾಲಯ ಮಂಜೂರಾತಿ,High School and Junior College sanction,ಶರಣಪ್ರಕಾಶ ರುದ್ರಪ್ಪ ಪಾಟೀಲ್,Śaraṇaprakāśa Rudrappa Patil
30,13/02/2013,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,ಸರ್ಕಾರಿ ಹಾಗೂ ಖಾಸಗಿ ಅನುದಾನಿತ ಪದವಿ ಕಾಲೇಜುಗಳು,Government and Private Aided Degree Colleges,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
31,13/02/2013,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ ಇಲ್ಯಾಖೆ,Health and Family Welfare Department,ಪ್ರಾಥಮಿಕ ಆರೋಗ್ಯ ಕೇಂದ್ರಗಳ ವಿವರ,Profile of Primary Health Centers,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
32,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಸರ್ವ ಶಿಕ್ಷಣ ಅಭಿಯಾನದಡಿ ಬಿಡುಗಡೆಯಾದ ಅನುದಾನ,Grants released under Sarva Shiksha Abhiyan,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
