Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMB
LING","DP
ACT","CYBER CRIME
(INFORMATIO
N
TECHNOLOGY
ACT)","POCS
O
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,15,32,37,0,28,19,54,662,38,10,270,45,0,51,319,58,22,18,86,875,28,9
2,Mysuru City,1,2,1,0,1,0,7,21,0,0,25,0,0,8,76,3,0,1,9,19,3,0
3,Hubballi Dharwad City,3,14,1,0,0,1,4,17,0,1,3,9,0,6,18,5,4,26,0,12,1,1
4,Mangaluru City,5,5,0,1,0,2,2,18,0,3,14,3,0,12,64,5,1,12,0,8,2,4
5,Belagavi City,1,3,1,1,0,2,5,24,0,2,15,6,0,14,30,2,4,7,0,7,6,1
6,Kalaburagi City,3,3,1,0,2,3,5,27,0,4,21,9,1,14,32,7,3,12,5,4,5,2
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,6,10,2,1,0,3,23,119,3,5,49,21,1,58,180,18,3,3,3,46,3,3
8,Ramanagara,4,5,0,0,1,1,18,32,0,5,30,3,0,48,108,17,7,16,7,15,11,3
9,Tumakuru,3,9,3,1,1,2,16,53,0,1,55,3,0,60,156,37,13,57,16,23,10,6
10,Kolar,1,1,0,0,0,1,7,13,0,5,28,3,0,28,47,3,0,7,1,1,16,2
11,Chickballapura,4,4,2,0,2,2,3,22,0,6,35,7,0,29,52,5,2,14,0,14,23,2
12,K.G.F,1,1,0,1,0,0,4,8,1,3,20,0,0,4,13,5,0,1,2,5,7,0
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,1,9,5,0,1,4,2,30,0,21,49,11,0,29,111,27,5,56,6,5,6,5
14,Davanagere,2,7,0,0,1,4,16,31,0,12,30,14,0,29,80,11,3,32,0,10,4,2
15,Shivamogga,4,24,4,1,3,1,10,37,0,8,76,9,0,35,114,18,10,40,6,6,21,3
16,Haveri,0,11,3,0,0,1,18,50,0,22,20,2,0,22,46,5,5,47,1,8,14,2
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,2,1,1,0,0,1,0,7,0,2,10,3,0,15,62,4,3,2,0,8,7,2
18,Udupi,0,3,0,0,1,2,9,21,0,1,12,3,0,28,89,4,4,13,1,6,1,1
19,Chikkamagaluru,3,3,2,0,0,0,4,16,0,4,47,4,0,20,66,13,3,9,2,10,8,6
20,Uttara Kannada,0,1,0,0,0,2,4,13,0,4,25,3,0,13,51,17,1,29,1,5,4,3
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,8,11,2,0,2,2,7,27,0,32,40,9,0,60,139,12,11,89,1,12,5,2
22,Bagalkot,1,10,1,0,0,1,10,21,0,11,23,3,0,26,49,13,2,27,0,0,6,2
23,Vijayapur,1,7,3,0,1,1,5,26,0,16,39,10,0,47,63,12,8,73,0,31,3,3
24,Dharwad,2,2,0,0,0,4,1,6,0,3,7,1,0,17,33,2,4,22,1,3,1,0
25,Gadag,2,2,1,0,0,1,4,8,0,8,12,3,0,9,18,3,3,45,4,6,7,1
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,5,3,1,0,0,1,8,45,0,10,42,6,0,29,49,14,6,25,7,3,5,4
27,Bidar,3,7,1,0,0,1,8,22,0,7,51,16,0,35,78,2,1,61,0,2,1,2
28,Yadgir,2,11,2,0,0,1,2,11,0,8,14,6,0,11,32,12,8,34,1,1,4,1
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,4,2,3,0,0,3,13,38,0,15,67,5,0,48,161,28,5,13,3,4,7,4
30,Mandya,1,5,5,0,2,5,11,31,0,1,43,3,0,44,155,20,13,20,4,4,5,1
31,Chamarajanagar,4,4,1,0,0,0,14,18,0,4,32,5,0,15,72,28,4,16,2,2,3,3
32,Hassan,3,10,5,0,0,6,6,32,0,4,90,9,0,41,141,17,5,10,4,10,9,3
33,Kodagu,4,6,1,0,1,1,4,11,0,0,21,1,0,4,40,4,2,2,0,8,6,2
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,1,6,0,0,0,3,6,19,0,10,17,13,0,26,37,9,0,115,0,10,2,1
35,Koppal,4,6,0,0,0,2,5,17,0,6,13,2,0,19,48,11,6,58,0,2,2,2
36,Raichur,4,8,2,0,0,2,8,48,0,29,31,10,1,33,29,23,6,55,2,3,3,0
37,Vijayanagara,0,10,1,0,0,2,8,24,0,10,18,6,0,14,27,12,1,86,0,4,6,1
,Karnataka Railways,1,2,0,0,0,0,0,61,1,0,0,0,0,0,0,0,0,0,0,1,0,0
,Total,109,260,92,6,47,87,331,1686,43,293,1394,266,3,1001,2885,486,178,1153,175,1193,255,89
