Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMB
LING","DP
ACT","CYBER CRIME
(INFORMATIO
N
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,80,170,137,6,100,92,223,3303,212,35,1456,216,12,332,1555,356,99,250,334,4457,146,68
2,Mysuru City,10,18,5,0,5,2,25,104,1,6,123,5,1,60,338,21,6,23,42,70,15,6
3,Hubballi Dharwad City,6,84,7,4,4,4,25,61,2,4,34,25,2,40,109,24,23,186,0,73,10,12
4,Mangaluru City,6,21,8,3,1,4,14,95,0,9,69,9,1,74,377,21,14,76,12,35,17,13
5,Belagavi City,9,28,8,2,5,14,32,96,5,19,66,37,0,64,159,15,15,66,0,41,14,4
6,Kalaburagi City,10,23,7,1,6,11,39,128,0,19,101,38,1,54,159,22,17,92,18,28,10,9
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,35,47,12,3,9,15,88,620,7,38,267,68,2,273,811,114,25,81,11,220,29,18
8,Ramanagara,18,32,12,2,9,12,47,198,0,12,163,13,5,188,496,79,24,85,31,79,37,6
9,Tumakuru,12,44,10,4,12,12,71,265,2,13,311,20,1,310,770,140,40,423,43,99,56,23
10,Kolar,10,25,5,1,4,8,32,74,0,48,131,13,1,115,214,45,9,49,4,17,40,9
11,Chickballapura,14,21,5,1,2,11,40,101,0,52,168,26,1,141,248,43,21,253,2,76,86,10
12,K.G.F,5,9,3,1,0,1,19,33,3,8,67,4,0,30,72,10,3,14,9,25,14,2
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,12,37,13,0,4,7,21,146,1,86,270,60,2,167,500,147,21,399,17,24,45,16
14,Davanagere,10,36,7,5,6,15,79,176,2,87,164,50,1,115,334,87,26,233,17,53,24,11
15,Shivamogga,12,90,10,4,12,21,52,228,0,59,360,29,1,174,489,119,59,175,33,43,63,25
16,Haveri,10,39,11,0,3,7,69,220,0,89,91,15,1,115,240,29,27,244,12,39,54,10
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,4,7,2,1,1,8,11,41,0,9,59,13,0,68,311,18,7,11,2,38,22,14
18,Udupi,1,19,6,0,2,3,26,155,1,15,85,18,0,124,399,19,29,38,1,45,12,8
19,Chikkamagaluru,14,23,6,0,1,3,30,93,0,24,233,21,2,77,295,71,27,63,6,30,48,14
20,Uttara Kannada,5,15,6,2,0,6,23,80,0,23,144,14,0,101,299,87,11,181,5,31,25,10
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,33,56,10,3,6,9,55,150,1,117,185,38,1,328,578,85,51,346,3,34,49,23
22,Bagalkot,13,53,4,1,3,9,29,97,0,41,73,19,1,173,222,38,23,239,5,15,29,3
23,Vijayapur,21,48,8,2,5,5,30,137,2,73,169,51,0,181,267,51,46,233,2,171,41,15
24,Dharwad,14,13,0,1,1,10,12,39,0,16,30,11,2,98,131,11,15,81,1,17,10,4
25,Gadag,4,8,4,0,2,9,17,60,1,26,35,7,1,71,74,13,17,199,8,28,24,4
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,17,29,12,0,4,10,54,159,0,55,176,40,0,129,257,51,24,171,15,17,41,15
27,Bidar,19,35,6,0,2,15,41,118,2,52,270,64,1,152,319,19,20,299,3,7,13,8
28,Yadgir,10,31,9,1,0,5,21,83,0,50,73,23,0,73,125,49,34,237,6,15,34,6
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,23,30,3,1,7,12,66,168,0,71,345,27,1,232,790,117,16,79,15,21,53,22
30,Mandya,12,45,10,1,5,16,44,149,1,5,263,23,0,190,729,124,27,140,18,29,42,16
31,Chamarajanagar,12,19,8,0,1,6,45,69,0,23,161,19,1,84,278,93,20,77,12,8,23,15
32,Hassan,13,72,11,1,2,16,53,172,0,16,392,42,2,216,711,84,45,92,22,40,43,14
33,Kodagu,11,27,7,0,1,7,19,54,0,2,117,11,0,29,204,18,12,20,0,41,33,17
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,11,29,5,1,2,10,19,108,0,45,80,39,0,95,145,27,10,433,3,38,14,19
35,Koppal,7,23,6,0,3,12,26,99,0,39,66,26,1,116,198,46,22,288,0,7,13,10
36,Raichur,19,54,15,2,0,14,35,315,0,81,124,39,2,131,164,76,41,302,20,7,22,2
37,Vijayanagara,5,44,5,0,2,6,36,114,0,49,98,30,1,102,141,60,6,220,3,23,30,10
38,Karnataka Railways,8,3,0,1,2,0,0,248,4,0,5,0,0,0,0,0,0,0,0,4,0,0
,Total,535,1407,403,55,234,427,1568,8556,247,1416,7024,1203,48,5022,13508,2429,932,6398,735,6045,1281,491
