"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - May - 2025,,,,
"Police Department has implemented 23 SAKALA Services through PoliceIT Application. The Service wise
details of received, disposed and overdue status of services for May 2025 as on 31.05.2025 are as under",,,,
Sl. No,Service Name,"Stipulated
Time","No. of Receipts
During the Month","No. of Disposal During
the Month as on
31.03.2025"
1,Arms License Issue and Renewal Verification,30,0,0
2,Certification of Finger Print,20,3,3
3,Disposal of Petitions,45,33925,32007
4,Issue of copy of FIR to the complaintant,1,20264,20264
5,License for Amplified Sound System,3,816,1031
6,License for Amusement,15,0,0
7,"Missing Report of documents, Mobile phone etc",1,3790,3790
8,"No objection to return to India permission in
respect of Tibetans",20,0,0
9,"No obligation to return to India (NORI)
Certificate",20,0,0
10,NOC for Crackers License,7,0,0
11,NoC for Passport Verification,20,757,702
12,"NOC for petrol pump,gas agency,hotel,bar etc.",7,0,0
13,NOC for Residencial Permit Extension,7,0,0
14,"NOC required for setting up of Petroleum,
Diesel and Naphtha, Sale, Transport",21,0,0
15,"Permission for Peaceful Assembly and
procession",15,0,0
16,"Police verification Certificate for
Coolies/Loader/Class IV Security Staff/
Supervisor at Airport (Individual applicants
only)",20,8775,7078
17,"Police Verification Certificate for domestic
servants/house keeping",20,1,1
18,"Police Verification Certificate for Institutions/
Companies",20,90,93
19,"Police verification Certificate for Marriage
Alliances",20,30,26
20,"Police verification Certificate for Training
Apprenticeship at Public Undertakings /for
trainees/ Workers working on daily wages at
Govt. Institutions",20,5431,4752
21,"PVC for Central /State Govt. employees if
request is received directly by the employee",20,542,476
22,Service Verification,20,31144,29437
23,Temporary Licence for Sale of Crackers,7,0,0
,Total,,105568,99660
