MAJOR HEADS FOR THE MONTH OF JULY-2025,,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMB
LING","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,14,40,23,2,23,16,58,696,32,4,300,53,2,66,377,93,25,26,109,942,25,18
2,Mysuru City,1,4,0,0,1,2,5,23,0,3,31,5,0,15,59,2,3,4,14,16,5,2
3,Hubballi Dharwad City,0,14,1,0,2,1,4,10,1,0,4,9,1,8,16,2,1,11,0,11,2,1
4,Mangaluru City,0,3,4,1,1,0,2,25,0,0,8,4,0,8,55,4,3,12,0,22,7,6
5,Belagavi City,0,3,1,0,0,0,4,18,1,2,15,8,0,17,38,2,2,16,1,9,3,0
6,Kalaburagi City,3,4,0,0,2,4,4,22,0,2,18,6,0,7,28,1,3,42,0,1,3,1
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,5,7,2,0,4,3,16,92,0,8,48,14,4,44,146,21,10,11,1,28,8,4
8,Bengaluru South,6,4,1,0,2,5,8,39,0,3,35,2,0,22,97,16,7,10,3,13,4,1
9,Tumakuru,6,8,6,0,2,3,18,47,0,2,54,5,0,54,154,28,16,44,10,24,12,5
10,Kolar,0,3,1,1,1,3,5,15,0,7,37,0,0,19,44,5,4,3,5,9,11,1
11,Chickballapura,1,4,1,0,0,2,3,34,0,12,46,9,0,34,46,16,0,41,0,20,8,0
12,K.G.F,0,1,0,0,0,2,5,7,0,1,10,0,0,6,17,3,1,3,0,13,1,1
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,3,7,2,1,2,6,9,32,0,22,60,14,0,20,95,25,7,32,2,9,14,4
14,Davanagere,2,5,0,1,0,1,17,40,0,13,30,9,0,24,52,16,7,49,1,5,6,4
15,Shivamogga,4,10,1,1,2,3,15,23,0,9,64,11,0,20,69,13,6,29,3,14,17,2
16,Haveri,2,8,1,0,1,1,7,29,0,7,9,3,0,14,39,4,3,45,2,8,13,0
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,1,2,1,0,0,1,0,16,0,4,12,3,0,6,48,2,2,3,0,14,3,1
18,Udupi,0,9,1,0,0,1,9,19,0,1,5,0,0,10,38,3,10,13,0,37,3,2
19,Chikkamagaluru,2,5,0,2,1,3,7,17,0,3,39,8,0,11,51,11,8,11,2,9,4,4
20,Uttara Kannada,1,3,2,0,2,2,10,7,0,1,37,4,0,12,37,12,5,59,2,8,3,2
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,4,13,1,1,0,3,12,30,0,11,42,6,0,42,93,20,9,57,2,3,11,3
22,Bagalkot,1,18,0,0,0,2,5,24,0,7,19,3,0,32,42,11,7,72,1,3,5,1
23,Vijayapur,3,8,4,0,0,3,7,30,0,19,25,9,2,25,35,12,9,33,0,32,5,2
24,Dharwad,2,3,0,0,0,2,0,5,0,2,7,0,0,7,17,0,4,22,1,2,3,0
25,Gadag,0,0,1,0,1,0,11,20,0,5,9,2,0,17,11,6,3,59,1,6,3,0
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,2,4,3,1,0,3,17,36,0,16,27,6,0,19,52,10,4,40,4,2,4,2
27,Bidar,2,4,1,0,2,2,13,32,0,14,55,14,0,15,63,5,3,34,2,3,2,2
28,Yadgir,2,6,2,0,0,1,6,16,0,4,24,4,0,7,22,11,8,30,2,1,4,4
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,1,2,0,1,2,1,10,29,0,3,59,11,0,27,144,14,3,16,0,4,8,4
30,Mandya,3,3,0,0,0,4,14,30,0,3,41,4,1,24,184,25,4,17,2,5,7,1
31,Chamarajanagar,1,2,1,2,1,2,9,15,0,4,32,2,0,18,44,15,3,13,3,2,4,1
32,Hassan,3,15,2,0,0,2,10,22,0,1,65,9,0,35,101,17,12,28,6,10,15,3
33,Kodagu,2,4,0,0,2,2,1,5,0,1,17,3,0,6,28,6,3,2,0,10,10,0
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,1,3,1,0,0,1,6,26,0,12,21,2,0,13,32,10,6,78,1,13,2,2
35,Koppal,2,2,1,0,0,2,6,24,1,18,8,4,0,16,35,14,6,80,0,1,2,3
36,Raichur,2,6,3,0,1,5,7,36,0,34,23,11,1,19,30,19,9,55,4,1,3,3
37,Vijayanagara,0,12,1,0,0,2,6,10,0,5,17,5,0,7,23,13,2,19,0,5,5,1
,Karnataka Railways,0,3,0,0,0,0,0,42,1,0,1,0,1,1,0,0,0,0,0,2,0,1
,Total,82,252,69,14,55,96,346,1643,36,263,1354,262,12,747,2462,487,218,1119,184,1317,245,92
