MAJOR HEADS FOR THE YEAR 2025 (UPTO JULY),,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMB
LING","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,115,258,197,10,143,125,339,4840,293,52,2070,309,20,487,2350,526,146,324,543,6303,201,116
2,Mysuru City,11,24,6,1,5,5,35,145,0,8,180,11,2,90,458,34,12,33,68,98,30,10
3,Hubballi Dharwad City,7,112,9,4,6,6,31,80,3,4,44,40,4,58,151,31,30,276,0,93,13,19
4,Mangaluru City,10,30,13,4,2,4,16,148,1,11,90,17,1,96,503,30,20,91,12,78,30,24
5,Belagavi City,10,38,10,2,6,17,43,134,7,24,99,53,0,93,225,20,18,112,1,61,21,5
6,Kalaburagi City,17,32,8,2,8,15,53,164,0,33,131,50,1,74,214,27,22,186,22,32,19,11
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,36,48,9,3,15,23,99,685,8,45,338,78,5,363,1056,148,39,98,18,258,41,25
8,Bengaluru South,25,36,13,2,11,19,67,251,0,21,235,16,3,242,631,97,35,107,31,115,47,7
9,Tumakuru,22,64,18,4,13,16,107,372,0,21,443,28,1,414,1073,198,72,545,71,151,82,32
10,Kolar,13,40,7,2,7,14,42,105,0,74,182,12,1,163,298,64,17,54,14,34,60,12
11,Chickballapura,22,31,8,1,2,16,55,154,0,71,248,42,1,204,341,72,25,322,2,113,102,11
12,K.G.F,6,12,5,1,1,4,30,49,4,12,90,6,0,40,104,15,4,22,12,54,17,4
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,16,50,16,1,6,16,40,199,1,122,397,85,2,219,695,206,31,468,24,40,75,25
14,Davanagere,11,48,11,6,8,18,109,251,1,119,220,74,1,169,444,129,42,328,19,67,40,18
15,Shivamogga,21,122,13,5,18,28,81,280,1,86,493,44,1,220,648,157,69,298,49,67,95,36
16,Haveri,13,52,14,0,4,10,88,291,0,117,120,19,2,153,317,37,42,325,14,57,85,12
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,6,12,5,1,1,9,18,68,0,16,84,19,0,85,405,31,10,14,3,63,28,17
18,Udupi,3,29,8,0,2,4,43,185,1,18,100,19,0,157,499,26,43,72,1,111,18,12
19,Chikkamagaluru,15,33,6,2,5,8,44,121,0,37,321,35,3,106,406,96,38,99,11,45,67,24
20,Uttara Kannada,6,20,11,2,3,9,39,99,0,31,213,25,0,132,371,114,19,285,7,46,32,14
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,42,75,13,5,7,13,80,216,0,155,257,49,2,418,767,126,66,495,9,45,64,36
22,Bagalkot,16,82,4,0,3,16,41,130,0,60,112,26,1,236,299,65,34,358,8,20,40,8
23,Vijayapur,35,65,15,3,5,9,45,196,0,116,242,70,2,236,350,79,63,315,2,250,53,21
24,Dharwad,16,21,0,1,1,15,17,49,0,21,49,11,2,117,174,13,22,125,4,24,12,4
25,Gadag,5,10,4,0,3,8,33,84,1,50,46,10,0,102,98,20,23,324,12,41,31,5
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,24,38,16,3,3,15,83,235,0,89,237,50,2,173,348,73,30,259,21,19,50,17
27,Bidar,22,49,7,0,5,24,66,178,2,82,405,90,1,199,434,30,25,350,6,15,21,10
28,Yadgir,14,42,13,1,0,7,29,104,0,64,126,32,0,102,163,75,48,296,8,19,61,9
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,25,39,3,2,10,16,95,222,0,92,473,45,2,300,1087,157,22,111,16,27,70,29
30,Mandya,20,55,11,2,5,23,64,209,1,9,359,33,1,247,1062,165,42,190,23,37,63,23
31,Chamarajanagar,17,26,9,2,3,10,59,92,0,29,210,21,1,121,366,116,28,109,18,11,33,19
32,Hassan,18,100,14,1,3,21,74,225,0,19,542,52,2,290,942,126,63,148,38,55,68,20
33,Kodagu,13,34,7,0,3,9,24,67,0,3,156,16,0,42,262,29,15,23,1,57,47,21
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,14,37,9,1,2,13,27,162,0,63,118,48,0,129,200,47,21,601,6,56,21,20
35,Koppal,13,31,10,0,3,16,35,145,2,66,96,39,1,155,259,67,34,419,0,13,22,14
36,Raichur,24,81,21,3,2,20,45,389,0,139,170,58,3,177,214,118,61,416,33,9,35,7
37,Vijayanagara,6,65,6,0,2,9,44,142,0,70,136,45,1,132,193,88,10,297,6,30,42,13
38,Karnataka Railways,10,7,0,1,2,0,0,321,8,0,6,0,1,1,0,1,0,0,0,6,0,1
,Total,719,1948,549,78,328,610,2240,11787,334,2049,9838,1677,70,6742,18407,3453,1341,8895,1133,8620,1836,711
