Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of July- 2025,,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section 7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,3971,9,15,10,16,670850
2,Mysuru City,1150,0,0,0,0,116650
3,Hubli-Dharwad City,8,0,0,0,0,1300
4,Mangaluru City,199,0,0,0,0,9740
5,Belagavi City,17,0,0,0,0,1350
6,Kalburgi City,110,0,0,0,0,20700
II,Central Range,,,,,,
1,Bengaluru Dist.,109,0,0,0,0,12250
2,K.G.F.,470,0,0,0,0,32800
3,Kolar,381,0,0,0,0,34650
4,Tumakuru,1517,0,0,0,0,153050
5,Chickballapura,253,0,0,0,0,24800
6,Ramanagara,33,0,0,0,0,5800
III,Eastern Range,,,,,,
1,Chitradurga,1628,0,0,0,0,121420
2,Davanagere,1038,0,0,0,0,111150
3,Shivamogga,417,1,0,0,0,27050
4,Haveri,350,0,0,0,0,30850
IV,Western Range,,,,,,
1,Chickmagalur,241,0,0,0,0,23850
2,D.K.,214,0,0,0,0,12750
3,Udupi,341,0,0,0,0,34800
4,U.K.,503,0,0,0,0,54500
V,Northern Range,,,,,,
1,Bagalakote,137,0,0,0,29,9620
2,Belagavi dist.,145,0,0,0,0,14500
3,Vijayapura,98,0,0,0,0,15800
4,Dharwad,42,0,0,0,0,5000
5,Gadag,289,0,0,0,0,23700
VI,North Eastern Range,,,,,,
1,Bidar,0,0,0,0,0,0
2,Kalburgi,148,0,0,0,0,26600
3,Yadgiri,155,0,0,0,0,15500
VII,Southern Range,,,,,,
1,Chamarajanagar,0,0,0,0,0,0
2,Hassan,942,0,0,0,0,62750
3,Kodagu,133,0,0,0,0,12700
4,Mandya,302,0,0,0,0,22550
5,Mysuru Dist.,1150,0,0,0,0,116650
VIII,Ballari Range,,,,,,
1,Ballari,473,0,0,0,0,44650
2,Vijayanagara,564,0,0,0,0,56400
3,Koppal,36,0,0,0,0,3100
4,Raichur,784,0,0,0,0,76900
IX,Karnataka Railways,9,0,0,0,0,2600
Total,,18357,10,15,10,45,2009330
