Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
45,"OFFENCES AGAINST PUBLIC SERVANTS (Public
servant is a victim) (Sec 182-188, 332, 333, 353
IPC/217-223,121(1),121(2), 132 BNS)",,,,
46,Attempt to Commit,14,2,1,0
,Defence Personnel,2,0,0,0
,Jail Personnel,9,1,1,1
,Judicial Official,17,0,1,0
,Minister,0,0,0,0
,MLA,0,0,0,0
,MP,0,0,0,0
,Nationalised Bank Personnel,2,0,0,0
,Other Elected Member,4,2,0,0
,Other Enforcement Official,1,3,1,0
,Other Govt. Official,306,34,39,40
,Para Military Personnel,2,0,0,0
,Police Personnel,348,36,41,37
,Public Sector Undertaking Official,95,6,12,10
,Sub Total,800,84,96,88
47,"OFFENCES BY PUBLIC SERVANTS (EXCEPT
CORRUPTION) (Public servant is accused)
(Sec.128, 129, 167, 218, 221, 222
IPC/156,157,201,256,259,260 BNS)",,,,
,Defence Personnel,0,0,0,0
,Jail Personnel,0,0,0,0
,Judicial Official,0,0,0,0
,Minister,0,0,0,0
,MLA,0,0,0,0
,MP,0,0,0,0
,Nationalised Bank Personnel,0,0,0,0
,Other Elected Member,0,0,0,0
,Other Enforcement Official,0,0,0,0
,Other Govt. Official,0,0,0,0
,Para Military Personnel,0,0,0,0
,Police Personnel,0,0,0,0
,Public Sector Undertaking Official,2,0,0,0
,Others,0,0,0,0
,Sub Total,2,0,0,0
48,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338
except 283 IPC/282 to 291,125 to 125(b) except
285 BNS)",,,,
,Animal -Related,40,5,3,9
,Boat/Vessel - Related,1,0,0,0
,Explosive/Explosive Substances - Related,14,6,1,0
,Inflammable Substance- Related,14,3,0,1
,Machinery - Related,86,6,10,10
,Poisonous Substance - Related,10,1,3,1
,Other - Related,973,428,82,117
,Human - Related,763,113,72,80
,Wheeling,119,0,23,49
,Drink & Drive Without DL,37,0,9,12
,Death Causeed By Electric Shock,58,6,2,4
,Defective Silencer,8,0,0,0
,Footpath Riding,2,0,1,1
,Racing & Trials of Speed,1,0,0,1
,Rash & Negligence/Dangerous Driving,251,0,61,139
,Sub Total,2377,568,267,424
49,"RECEIVING OF STOLEN PROPERTY (Sec.411 to
414 IPC/317(2) TO 317(5) BNS)",2,0,0,1
50,SEDITION (Sec. 124A IPC/IN BNS Deleted),1,,,
,Attempt to Commit,0,0,0,0
,By Foreigner,0,0,0,0
,By National,0,0,0,0
,By National And Foreigner,0,0,0,0
,Sub Total,0,0,0,0
51,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC/79 BNS)",,,,
,Attempt to Commit,8,1,0,0
,Office,11,1,1,2
,Public Conveyance,6,0,2,1
,Public Place,90,7,11,15
,Other Places,148,4,19,14
,Sub Total,263,13,33,32
