MAJOR HEADS FOR THE YEAR 2025 (UPTO AUGUST),,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMB
LING","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,128,280,219,11,167,138,408,5409,331,60,2336,363,25,578,2710,603,161,350,603,7165,234,134
2,Mysuru City,12,26,6,2,5,5,36,170,0,8,208,12,2,104,530,35,13,38,77,115,34,11
3,Hubballi Dharwad City,8,121,11,4,6,6,35,92,3,5,52,50,4,65,173,36,31,288,0,116,14,21
4,Mangaluru City,12,37,14,6,3,4,19,176,1,12,102,20,1,111,566,36,23,99,12,92,35,24
5,Belagavi City,14,42,11,2,6,19,49,150,7,25,111,59,0,103,266,22,21,116,1,66,27,5
6,Kalaburagi City,22,37,11,2,11,16,61,192,0,37,146,56,1,85,253,30,25,217,27,36,20,10
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,41,57,12,3,18,31,128,777,11,48,375,85,6,413,1202,160,48,105,22,288,45,31
8,Bengaluru South,27,37,15,2,13,26,73,295,0,25,277,20,3,269,711,121,39,121,33,138,54,10
9,Tumakuru,24,76,22,5,15,22,123,415,0,25,498,32,3,462,1245,228,79,579,81,179,92,35
10,Kolar,15,43,7,2,10,16,46,112,0,78,213,13,1,186,345,69,21,57,15,43,63,16
11,Chickballapura,23,36,8,1,2,18,60,177,0,82,273,50,1,226,392,86,28,344,2,141,110,13
12,K.G.F,7,16,6,1,1,4,38,59,5,15,103,6,0,42,115,17,5,24,12,60,20,5
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,19,60,19,2,6,23,46,233,1,152,444,96,2,245,784,227,33,496,27,48,80,26
14,Davanagere,12,51,11,7,11,19,117,287,0,139,239,85,1,187,506,154,47,355,23,77,51,19
15,Shivamogga,24,140,17,5,18,30,87,309,2,115,546,50,0,248,731,176,76,311,55,83,119,38
16,Haveri,17,61,15,0,4,11,109,326,1,136,130,22,2,173,355,41,46,381,16,62,94,15
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,7,14,6,1,1,11,20,89,0,22,103,21,0,93,450,34,13,14,3,78,33,20
18,Udupi,5,32,12,0,2,5,45,202,1,19,107,23,0,174,554,27,48,85,2,136,18,13
19,Chikkamagaluru,19,36,9,2,6,11,52,144,0,40,355,38,3,122,460,105,41,111,14,54,79,31
20,Uttara Kannada,9,25,15,2,4,11,45,107,0,40,239,26,0,149,405,121,27,331,7,50,39,17
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,50,83,15,6,9,17,94,253,0,168,281,56,2,477,865,138,75,552,11,54,81,41
22,Bagalkot,17,90,7,0,3,19,54,150,0,66,123,29,1,264,345,73,39,426,8,26,48,8
23,Vijayapur,41,73,16,3,7,13,54,220,0,134,262,84,2,263,406,88,66,384,2,283,62,23
24,Dharwad,17,22,0,2,1,16,17,55,0,23,53,11,2,130,198,16,26,154,5,31,16,4
25,Gadag,6,10,4,1,3,8,36,107,1,57,51,10,0,112,107,23,28,376,16,45,31,5
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,26,38,17,3,3,19,95,261,0,100,264,62,3,185,392,80,29,309,23,22,62,16
27,Bidar,24,54,8,0,6,27,81,201,2,85,452,98,1,221,472,34,25,386,7,22,25,9
28,Yadgir,15,50,13,1,0,7,32,122,0,68,144,31,1,115,176,85,53,322,11,20,72,10
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,28,50,3,2,10,17,116,249,0,108,552,37,2,337,1212,186,24,134,33,32,79,31
30,Mandya,25,63,13,2,5,27,68,233,1,11,430,36,1,285,1231,193,49,209,27,51,69,33
31,Chamarajanagar,17,29,9,2,2,11,63,112,0,32,244,27,1,148,403,126,31,126,21,14,38,19
32,Hassan,25,112,18,2,3,22,87,246,0,32,606,55,2,319,1064,142,74,160,41,66,83,22
33,Kodagu,14,37,7,0,4,9,27,83,0,3,184,16,0,47,288,37,15,27,1,63,58,22
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,15,39,11,1,3,14,30,181,0,71,131,59,0,147,236,53,26,678,6,65,29,22
35,Koppal,14,39,11,0,4,18,41,179,3,73,106,49,1,170,294,74,42,463,0,14,28,14
36,Raichur,25,93,25,1,3,21,52,411,0,151,199,61,3,193,244,134,74,449,39,11,41,7
37,Vijayanagara,8,70,6,0,2,10,45,153,0,75,143,51,1,150,215,89,10,313,6,33,49,16
38,Karnataka Railways,10,7,0,1,2,0,0,362,8,0,8,0,1,1,0,2,0,0,0,9,0,1
,Total,822,2186,629,87,379,701,2589,13299,378,2340,11090,1899,79,7599,20901,3901,1511,9890,1289,9888,2132,797
