Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Vijayapur District,461,444,96.31
2,Dharwad District,148,142,95.95
3,Chikkamagaluru District,339,323,95.28
4,Uttara Kannada District,322,293,90.99
5,Mysuru City,473,407,86.05
6,Bagalkot District,365,308,84.38
7,Yadgir District,207,174,84.06
8,Chitradurga District,529,433,81.85
9,Koppal District,313,253,80.83
10,Mandya District,538,433,80.48
11,Kalaburagi City,252,195,77.38
12,K.G.F District,115,84,73.04
13,SP Railways,64,46,71.88
14,Belagavi City,222,136,61.26
15,Belagavi District,552,334,60.51
16,Raichur District,334,185,55.39
17,Udupi District,231,124,53.68
18,Gadag District,218,117,53.67
19,Tumakuru District,754,369,48.94
20,Bengaluru South District,443,204,46.05
21,Haveri District,328,132,40.24
22,Dakshina Kannada District,215,81,37.67
23,Kolar District,246,73,29.67
24,Hubballi Dharwad City,183,54,29.51
25,Bengaluru City,5023,1405,27.97
26,Hassan District,490,130,26.53
27,Chamarajanagar District,264,68,25.76
28,Ballari District,303,75,24.75
29,Bengaluru District,696,172,24.71
30,Davanagere District,445,87,19.55
31,Vijayanagara District,215,36,16.74
32,KODAGU(Madikeri) District,198,24,12.12
33,Kalaburagi District,322,37,11.49
34,Chickballapura District,344,31,9.01
35,Bidar District,306,21,6.86
36,Mysuru District,570,34,5.96
37,Mangalore COP,310,7,2.26
38,Shivamogga District,564,0,0.00
Total,,17902,7471,41.73
