MAJOR HEADS FOR THE MONTH OF SEPTEMBER-2025,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMB
LING","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,13,60,27,4,33,17,54,671,35,4,314,48,1,75,404,102,21,27,92,920,24,12
2,Mysuru City,0,4,0,0,0,0,3,21,0,0,25,1,0,19,63,2,1,0,8,20,2,3
3,Hubballi Dharwad City,0,14,1,0,0,1,7,10,1,1,4,5,0,7,23,2,5,7,0,23,2,4
4,Mangaluru City,0,6,4,1,0,0,3,25,0,0,13,6,0,5,69,7,2,14,1,11,2,0
5,Belagavi City,1,7,0,0,0,3,11,16,0,3,15,4,0,6,43,2,0,2,0,9,1,0
6,Kalaburagi City,4,0,1,0,0,0,8,22,0,2,17,8,1,6,33,1,1,28,2,6,1,0
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,4,9,7,1,7,6,23,105,1,11,51,15,1,45,140,24,12,6,4,41,6,9
8,Bengaluru South,2,13,0,0,0,5,8,26,0,3,32,1,0,30,90,20,4,8,6,17,11,2
9,Tumakuru,3,11,0,0,2,5,9,50,0,1,66,20,0,51,151,35,9,37,5,27,15,3
10,Kolar,1,2,1,0,1,2,1,16,0,7,19,0,1,14,46,6,2,2,3,10,17,0
11,Chickballapura,4,6,2,0,0,1,6,13,0,8,24,5,0,22,44,12,3,18,0,24,8,2
12,K.G.F,0,1,1,0,0,1,6,7,0,1,20,0,0,6,13,0,2,5,3,5,2,2
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,2,10,2,0,1,6,2,26,0,26,56,6,0,33,92,31,4,21,6,5,7,3
14,Davanagere,3,11,0,1,0,3,4,24,0,13,21,13,0,17,43,13,8,10,2,11,8,2
15,Shivamogga,3,13,1,0,1,1,8,40,0,9,62,6,0,14,66,26,5,14,8,20,12,10
16,Haveri,1,8,0,0,3,3,9,36,0,19,19,2,0,14,37,2,5,53,1,9,10,2
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,2,2,0,1,0,1,21,0,1,15,4,0,7,59,7,1,3,1,17,4,5
18,Udupi,4,2,2,1,1,0,7,21,0,0,15,2,0,11,66,5,1,13,0,15,3,0
19,Chikkamagaluru,0,8,0,0,3,2,0,7,0,0,41,7,0,14,49,8,4,16,0,8,5,4
20,Uttara Kannada,4,5,1,0,1,2,10,7,0,8,26,5,0,9,35,14,9,59,1,6,4,1
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,4,13,0,0,2,2,11,43,0,24,28,5,0,42,92,9,14,71,3,6,7,2
22,Bagalkot,5,10,1,1,1,0,6,26,0,14,11,4,0,20,40,14,7,55,2,4,1,0
23,Vijayapur,6,9,1,1,1,5,4,23,0,8,25,10,0,30,42,7,4,57,0,21,2,2
24,Dharwad,1,2,0,0,2,2,3,11,0,3,3,0,0,11,26,2,8,20,1,4,2,0
25,Gadag,0,7,0,1,1,1,4,11,0,8,4,0,0,8,8,1,7,39,1,4,3,3
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,6,7,0,0,0,3,10,21,0,7,23,3,0,14,40,6,1,22,0,0,4,0
27,Bidar,1,4,0,0,0,2,6,12,0,5,34,10,0,16,61,3,3,24,2,7,4,1
28,Yadgir,3,4,2,0,0,1,2,15,0,13,12,7,0,7,15,5,6,17,0,1,7,1
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,5,6,0,0,0,1,18,25,0,7,78,4,2,25,143,13,4,14,1,5,17,2
30,Mandya,3,8,3,0,0,4,7,26,0,6,61,1,0,33,152,20,9,12,2,9,8,5
31,Chamarajanagar,1,4,1,0,0,5,13,12,0,0,32,6,0,14,41,12,5,9,5,9,1,5
32,Hassan,3,16,4,0,0,6,18,23,0,6,68,8,0,39,135,13,9,7,8,11,22,2
33,Kodagu,0,2,3,1,0,1,4,14,0,0,27,1,0,1,30,5,4,0,0,1,4,0
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,3,6,0,0,0,0,7,39,0,7,19,9,0,11,21,7,1,68,0,4,5,2
35,Koppal,3,1,0,0,0,4,5,16,0,7,13,5,0,17,44,11,5,38,0,2,4,2
36,Raichur,4,7,3,0,0,2,1,34,0,17,21,11,0,15,23,11,16,33,3,2,2,1
37,Vijayanagara,1,8,0,0,0,0,3,18,0,12,9,9,0,11,33,4,4,28,0,1,8,1
38,Karnataka Railways,2,1,0,0,2,0,0,43,0,0,0,0,0,0,0,2,0,0,0,1,0,0
,Total,100,307,70,12,63,97,302,1576,37,261,1323,251,6,719,2512,464,206,857,171,1296,245,93
