MAJOR HEADS FOR THE MONTH OF OCTOBER-2025,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMBLI
NG","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,18,46,11,3,29,12,68,744,31,4,325,57,3,73,366,108,23,42,70,836,25,18
2,Mysuru City,2,4,2,1,0,0,5,27,0,0,20,5,0,17,88,3,3,1,9,19,2,5
3,Hubballi Dharwad City,0,11,1,1,2,1,5,11,2,4,7,7,0,9,27,4,6,44,0,16,1,2
4,Mangaluru City,0,4,2,1,0,0,4,35,0,1,11,2,0,10,78,2,2,4,2,13,4,1
5,Belagavi City,2,13,0,0,0,2,7,19,3,3,14,8,0,19,32,3,1,16,1,10,3,0
6,Kalaburagi City,1,8,0,0,1,3,14,15,0,5,16,4,0,4,40,5,2,14,7,1,1,2
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,1,7,1,1,5,5,25,106,2,3,51,15,1,52,147,11,7,4,1,33,5,3
8,Bengaluru South,4,1,1,0,2,0,5,26,0,4,35,5,0,33,124,28,7,14,5,24,4,0
9,Tumakuru,4,12,3,1,1,4,14,53,0,7,61,10,0,42,147,36,19,28,10,27,17,7
10,Kolar,4,9,1,0,0,2,14,20,0,9,27,6,1,16,53,7,3,0,0,8,5,3
11,Chickballapura,2,4,1,0,0,1,4,25,0,12,28,8,1,29,59,11,4,23,1,15,13,2
12,K.G.F,1,2,0,0,0,2,6,10,1,1,25,0,0,6,9,1,1,3,0,3,2,0
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,1,14,3,1,0,2,3,37,0,19,49,10,0,31,98,21,9,42,1,7,11,2
14,Davanagere,1,14,1,1,3,2,14,48,0,18,31,7,1,25,67,13,7,47,2,8,4,5
15,Shivamogga,3,22,2,3,4,1,12,43,0,12,65,8,0,21,92,25,8,36,7,21,17,2
16,Haveri,1,10,2,0,0,1,11,42,0,16,18,3,0,17,56,4,10,97,5,9,5,1
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,3,0,0,2,3,1,11,0,3,19,2,0,7,60,2,6,0,4,14,4,4
18,Udupi,1,1,1,0,0,0,4,26,1,1,6,1,0,19,84,2,4,12,0,13,1,1
19,Chikkamagaluru,4,10,2,0,0,1,6,19,0,6,56,3,2,14,62,7,5,32,1,17,6,2
20,Uttara Kannada,2,4,1,0,1,0,8,7,0,4,23,5,0,16,62,13,4,89,2,3,4,0
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,5,18,4,0,4,1,15,27,0,23,36,15,1,71,107,21,10,102,0,6,7,4
22,Bagalkot,8,10,1,0,0,1,9,20,0,15,16,3,1,17,41,10,11,68,2,4,2,2
23,Vijayapur,9,17,2,1,2,0,6,28,0,11,30,8,0,38,48,10,6,40,0,24,6,1
24,Dharwad,2,1,0,0,0,1,2,7,0,8,14,1,0,16,19,3,2,78,0,8,2,0
25,Gadag,1,3,0,0,1,0,2,23,0,11,10,7,1,10,15,6,4,94,4,4,4,1
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,1,6,1,0,0,3,12,41,0,15,37,5,1,23,60,9,3,42,2,2,4,1
27,Bidar,2,7,0,0,0,4,6,17,0,9,43,5,0,23,59,5,3,70,1,6,4,1
28,Yadgir,2,8,1,0,0,0,2,18,0,9,18,1,0,11,21,7,5,26,0,1,14,0
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,2,10,0,0,3,5,19,22,0,9,63,5,0,35,140,25,3,9,0,10,4,6
30,Mandya,2,6,1,0,0,2,14,37,1,8,76,5,0,36,202,31,6,11,1,12,4,4
31,Chamarajanagar,4,4,0,0,0,0,9,20,0,1,33,4,0,14,61,20,5,4,4,5,3,5
32,Hassan,4,9,1,0,0,9,16,20,0,6,58,9,0,33,165,18,9,6,4,5,6,3
33,Kodagu,0,5,0,2,0,0,3,11,0,0,24,0,0,3,40,4,1,1,0,5,9,0
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,4,8,1,0,1,3,9,20,1,1,19,12,0,19,38,2,1,245,0,7,1,0
35,Koppal,2,3,1,0,0,3,4,22,1,3,9,5,0,20,30,7,1,124,0,2,6,2
36,Raichur,2,7,2,0,0,3,11,42,0,8,21,13,0,24,22,13,9,75,2,4,7,2
37,Vijayanagara,2,4,0,1,0,1,6,12,0,6,11,6,0,12,40,12,6,144,0,2,8,2
38,Karnataka Railways,2,0,0,0,2,0,0,50,0,0,2,0,0,0,0,0,0,0,0,0,0,1
,Total,106,325,50,17,63,78,375,1761,43,275,1407,270,13,865,2859,509,216,1687,148,1204,225,95
