Sl.No,Unit_Name,FIR Count,FIR eSign Count,FIR %
1,Dharwad District,220,218,99.09
2,Vijayapur District,411,406,98.78
3,Chitradurga District,542,534,98.52
4,Vijayanagara District,334,324,97.01
5,Bagalkot District,339,321,94.69
6,Belagavi District,659,622,94.39
7,Koppal District,323,302,93.50
8,Chikkamagaluru District,585,541,92.48
9,Hubballi Dharwad City,222,199,89.64
10,SP Railways,86,74,86.05
11,Tumakuru District,752,626,83.24
12,Uttara Kannada District,408,338,82.84
13,Raichur District,354,265,74.86
14,Belagavi City,260,191,73.46
15,Kalaburagi City,199,139,69.85
16,Yadgir District,197,132,67.01
17,Bengaluru South District,421,274,65.08
18,K.G.F District,120,77,64.17
19,Mysuru City,297,186,62.63
20,Mandya District,643,361,56.14
21,Ballari District,468,260,55.56
22,Udupi District,260,128,49.23
23,Dakshina Kannada District,221,104,47.06
24,Gadag District,290,122,42.07
25,Kolar District,284,101,35.56
26,Haveri District,409,100,24.45
27,Bengaluru District,704,163,23.15
28,Bengaluru City,5339,1091,20.43
29,Chickballapura District,386,75,19.43
30,Chamarajanagar District,282,52,18.44
31,Hassan District,500,82,16.40
32,Bidar District,383,41,10.70
33,Mangalore COP,292,26,8.90
34,Mysuru District,515,45,8.74
35,Davanagere District,519,44,8.48
36,KODAGU(Madikeri) District,188,14,7.45
37,Kalaburagi District,353,21,5.95
38,Shivamogga District,606,4,0.66
Total,,19380,8603,44.39
