MAJOR HEADS FOR THE MONTH OF NOVEMBER-2025,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMBLI
NG","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,19,35,9,5,35,29,54,656,13,3,297,56,2,71,380,94,24,34,85,811,34,16
2,Mysuru City,1,3,1,1,1,1,1,21,1,1,23,5,1,12,83,5,6,2,9,20,3,2
3,Hubballi Dharwad City,2,7,0,0,0,0,6,14,1,1,12,6,0,4,27,3,4,12,0,18,3,1
4,Mangaluru City,1,4,1,0,0,0,3,26,1,0,6,6,0,13,64,2,1,7,1,11,2,2
5,Belagavi City,0,3,1,0,0,1,3,24,1,1,11,8,0,8,32,3,1,18,1,12,2,3
6,Kalaburagi City,3,5,0,0,1,5,6,21,0,2,14,7,0,7,48,6,1,24,5,4,1,0
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,8,6,3,0,5,7,19,106,3,5,34,9,2,40,156,21,13,7,0,39,4,2
8,Bengaluru South,4,5,1,1,1,1,7,37,0,0,27,5,0,27,88,25,5,8,4,25,1,2
9,Tumakuru,3,18,1,2,4,5,13,54,0,4,57,8,1,66,166,23,17,27,10,18,17,3
10,Kolar,4,6,3,0,0,2,7,26,0,16,31,4,1,17,29,6,3,1,0,11,9,1
11,Chickballapura,3,6,1,0,1,2,3,25,0,13,29,2,0,22,55,10,3,17,0,24,11,4
12,K.G.F,2,3,1,0,0,0,3,12,0,2,14,0,0,4,11,1,0,1,1,1,0,0
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,0,7,0,0,0,2,7,28,1,10,60,6,1,31,98,24,10,39,3,6,12,2
14,Davanagere,0,5,0,1,3,4,13,48,0,13,35,8,0,22,74,21,7,24,3,9,5,2
15,Shivamogga,1,16,1,4,5,3,7,43,3,17,72,9,1,19,90,26,8,45,8,18,14,7
16,Haveri,2,6,1,1,2,2,3,24,1,34,21,5,0,17,52,5,3,42,5,10,6,4
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,1,0,0,0,3,1,18,0,0,18,1,0,10,54,5,3,0,0,15,4,3
18,Udupi,0,2,2,0,0,0,2,20,0,1,15,3,0,20,79,6,1,8,0,14,7,0
19,Chikkamagaluru,6,2,0,0,1,6,4,23,0,3,57,5,0,23,48,19,8,21,0,10,5,6
20,Uttara Kannada,1,2,0,0,0,2,6,16,0,3,24,5,0,10,50,7,7,59,2,6,7,1
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,3,13,1,0,2,2,12,34,0,25,29,6,1,61,137,23,12,83,3,10,6,0
22,Bagalkot,2,9,2,0,2,3,7,18,0,8,15,1,0,22,43,8,5,18,0,2,3,3
23,Vijayapur,5,11,2,0,2,1,7,27,0,4,23,8,0,39,44,10,5,93,0,21,2,3
24,Dharwad,1,1,1,0,1,2,3,5,0,3,7,3,0,14,22,3,7,7,0,5,1,0
25,Gadag,1,5,1,0,0,3,2,17,0,3,5,3,1,9,18,4,2,18,1,6,4,1
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,3,7,3,0,0,3,10,34,0,7,37,4,0,22,50,14,6,60,4,1,0,2
27,Bidar,1,6,0,1,1,0,4,22,0,7,50,9,0,25,74,1,2,43,1,6,2,1
28,Yadgir,2,6,3,0,0,1,8,17,0,8,12,4,0,12,30,5,7,34,1,0,2,0
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,4,5,0,0,3,4,18,25,0,6,52,5,0,35,156,14,4,26,0,12,11,2
30,Mandya,2,7,0,0,4,5,10,30,0,2,50,8,0,33,194,15,8,17,5,7,6,3
31,Chamarajanagar,3,3,0,1,1,1,7,4,0,6,31,0,0,17,52,12,1,11,6,5,5,1
32,Hassan,4,10,1,0,1,6,7,31,1,5,67,12,0,35,134,13,11,15,3,8,13,5
33,Kodagu,2,3,0,0,1,2,3,7,0,0,31,1,0,3,38,8,4,3,0,4,4,4
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,1,6,1,1,1,1,6,30,0,6,17,14,0,17,34,1,4,70,0,10,6,3
35,Koppal,0,2,3,0,0,0,2,15,0,2,9,7,0,25,34,10,1,48,1,2,9,4
36,Raichur,4,12,1,0,0,1,5,59,0,16,23,8,1,14,38,12,10,54,4,5,7,1
37,Vijayanagara,1,3,0,0,0,3,5,13,0,5,7,5,0,23,30,3,2,115,0,0,7,1
38,Karnataka Railways,0,0,0,0,1,0,0,30,3,2,0,0,0,0,0,0,0,0,0,0,0,0
,Total,99,251,45,18,79,113,284,1660,29,244,1322,256,12,849,2812,468,216,1111,166,1186,235,95
