MAJOR HEADS FOR THE YEAR 2025 (UPTO NOVEMBER),,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMBLI
NG","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,179,420,126,23,264,199,583,7478,408,71,3266,515,31,815,3837,907,230,453,854,9739,338,189
2,Mysuru City,16,36,8,5,5,6,45,239,1,9,276,23,3,156,761,45,23,41,103,174,44,23
3,Hubballi Dharwad City,10,139,8,5,8,8,54,122,7,15,85,68,4,87,247,45,46,351,0,174,21,30
4,Mangaluru City,13,51,17,6,2,5,29,260,2,13,133,34,1,150,766,47,29,124,16,131,45,29
5,Belagavi City,17,65,11,2,6,25,70,209,11,32,151,79,0,141,367,30,23,152,3,97,34,8
6,Kalaburagi City,30,50,10,3,12,24,89,250,0,46,193,75,2,106,369,42,29,283,41,47,25,15
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,55,79,17,6,32,49,196,1092,17,67,508,126,10,569,1628,214,84,123,26,404,62,49
8,Bengaluru South,36,55,16,3,14,32,94,383,0,32,374,29,3,369,1005,191,56,152,50,204,76,16
9,Tumakuru,33,111,22,7,22,36,159,571,0,36,691,69,4,628,1702,318,126,671,105,251,147,49
10,Kolar,24,61,10,2,11,22,68,176,0,110,281,24,4,237,469,98,27,60,18,72,100,20
11,Chickballapura,32,52,12,1,3,22,73,240,0,114,356,64,2,307,544,117,38,402,4,204,148,20
12,K.G.F,10,22,7,1,2,7,53,88,6,19,162,6,0,61,145,19,8,33,16,70,26,8
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,22,89,24,3,7,33,58,324,2,205,613,111,3,347,1069,303,55,598,44,66,119,34
14,Davanagere,17,74,10,8,18,30,147,407,0,178,338,113,2,257,685,199,68,436,30,107,72,28
15,Shivamogga,31,190,20,12,26,35,114,435,4,151,744,73,1,307,974,254,97,406,81,142,169,57
16,Haveri,22,85,19,1,9,17,133,427,2,203,190,33,2,229,491,54,64,573,27,90,119,21
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,7,21,7,1,4,17,23,134,0,26,153,25,0,120,619,48,23,17,11,124,44,32
18,Udupi,10,35,16,1,3,5,58,271,2,21,145,28,0,230,778,40,53,118,3,179,29,15
19,Chikkamagaluru,29,55,9,2,10,20,62,192,0,48,511,50,5,179,613,139,59,180,18,89,97,46
20,Uttara Kannada,16,35,17,2,6,15,69,137,0,55,313,41,0,185,550,155,47,532,12,65,55,19
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,64,126,20,6,15,22,132,357,0,242,373,77,3,681,1177,191,112,812,23,76,104,47
22,Bagalkot,32,117,10,1,6,23,76,214,0,103,166,32,2,330,462,105,62,567,17,36,56,16
23,Vijayapur,62,105,22,5,12,19,71,298,0,152,343,111,2,379,533,116,81,574,2,349,87,30
24,Dharwad,21,26,1,2,4,21,25,78,0,37,77,15,2,173,263,24,43,259,6,48,21,4
25,Gadag,8,25,5,2,4,13,45,156,1,79,68,21,2,142,145,33,43,528,22,59,41,10
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,35,54,20,3,3,28,127,357,0,126,367,75,4,251,536,110,40,433,28,25,71,20
27,Bidar,29,72,8,2,6,33,97,252,2,105,578,119,1,294,655,42,33,523,14,41,38,12
28,Yadgir,21,68,16,1,0,9,44,172,0,99,186,45,1,150,237,103,70,400,15,22,99,10
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,40,69,2,2,16,27,170,321,0,127,755,51,4,437,1647,237,35,184,34,60,118,41
30,Mandya,33,82,16,2,8,38,99,327,2,27,623,50,1,399,1768,256,73,250,35,79,89,48
31,Chamarajanagar,25,40,9,3,3,16,93,148,0,39,340,36,1,197,552,170,42,150,37,33,48,32
32,Hassan,35,141,23,2,4,43,127,321,1,48,810,83,2,435,1493,181,104,188,58,91,131,32
33,Kodagu,16,49,9,2,5,12,38,114,0,4,266,18,0,55,395,52,22,31,1,73,74,28
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,25,57,13,2,5,18,53,269,1,84,191,94,0,202,322,60,32,1070,6,86,44,29
35,Koppal,19,44,15,0,4,25,52,232,4,85,138,66,1,240,394,103,48,668,1,22,51,23
36,Raichur,33,119,31,1,2,27,69,546,0,192,266,91,4,250,321,170,111,612,50,22,68,9
37,Vijayanagara,12,85,6,1,1,14,59,195,0,98,170,67,1,196,321,108,22,601,10,36,78,18
,Karnataka Railways,13,7,0,1,6,0,0,478,24,2,10,0,1,1,0,4,1,0,0,10,0,2
,Total,1132,3011,612,132,568,995,3554,18270,497,3100,15210,2637,109,10292,28840,5330,2159,13555,1821,13597,2988,1119
