"Sl.N
O",Service Name,Received,Disposed,Pending
1,Job / Service Verification,36765,28591,8174
2,"Police Verification Certificate(PVC) for Central/State Govt
employees if request is received directly by the employee / By
Concerned Department",995,663,332
3,"Police Clearance Certificate for going abroad (Visa for studies)/
Police Clearance Certificate for Foreign Nationals",245,205,40
4,"Police verification Certificate for Coolies/Loader/Class IV Security
Staff/ Supervisor at Airport (Individual applicants only)",11092,8262,2830
5,"Police Verification Certificate for domestic servants/house
keeping",0,0,0
6,Police Verification Certificate for Institutions/ Companies,84,56,28
7,Police verification Certificate for Marriage Alliances,46,33,13
8,"Police verification Certificate for Training Apprenticeship at Public
Undertakings /for trainees/ Workers working on daily wages at
Govt. Institutions",5522,3850,1672
9,Amplified Sound System,617,559,58
10,"Missing Report of documents, Mobile phone etc",302,59,243
11,Disposal of petitions,46,1,45
12,Locked Home Details,0,0,0
13,Senior Citizen Registration,74,0,74
14,Complaint Registration,57,3,54
15,License for Amusement,0,0,0
16,No obligation to return to India (NORI) Certificate,0,0,0
17,"NOC for petrol pump,gas agency,hotel,bar etc.",0,0,0
18,Permission for Peaceful Assembly and procession,1,0,1
19,Application for Temporary License for Sale of Crackers,0,0,0
20,"NOC for setting up of Petroleum, Diesel and Naphtha sale and
transport",0,0,0
Total,,55846,42282,13564
