"Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of
November- 2025",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section 7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,3448,10,1,21,9,505700
2,Mysuru City,615,0,0,0,0,64850
3,Hubli-Dharwad City,18,0,0,0,0,1800
4,Mangaluru City,275,0,0,0,0,11300
5,Belagavi City,180,0,0,0,0,13950
6,Kalburgi City,56,0,0,0,0,11000
II,Central Range,,,,,,
1,Bengaluru Dist.,137,0,0,0,0,13400
2,K.G.F.,159,0,0,0,0,11500
3,Kolar,324,0,0,0,0,30650
4,Tumakuru,983,0,,0,0,84850
5,Chickballapura,55,0,0,0,0,5500
6,Ramanagara,326,0,0,0,0,33600
III,Eastern Range,,,,,,
1,Chitradurga,1469,0,0,0,0,106700
2,Davanagere,384,0,0,0,0,36600
3,Shivamogga,1012,0,1,0,0,59050
4,Haveri,140,0,0,0,0,12100
IV,Western Range,,,,,,
1,Chickmagalur,87,0,0,0,0,8250
2,D.K.,361,0,0,0,0,20720
3,Udupi,437,0,0,0,0,53500
4,U.K.,1394,0,0,0,0,136130
V,Northern Range,,,,,,
1,Bagalakote,27,0,0,0,0,5300
2,Belagavi dist.,86,0,0,0,0,8600
3,Vijayapura,32,0,0,0,0,3200
4,Dharwad,13,0,0,0,0,1300
5,Gadag,729,0,0,0,0,70350
VI,North Eastern Range,,,,,,
1,Bidar,116,0,0,0,0,19600
2,Kalburgi,52,0,0,0,0,9300
3,Yadgiri,130,0,0,0,0,130000
VII,Southern Range,,,,,,
1,Chamarajanagar,204,0,0,0,0,12000
2,Hassan,200,0,0,0,0,17000
3,Kodagu,66,0,0,0,0,6250
4,Mandya,315,0,0,0,0,26450
5,Mysuru Dist.,172,0,0,0,0,18450
VIII,Ballari Range,,,,,,
1,Ballari,313,0,0,0,0,34700
2,Vijayanagara,1127,0,0,0,0,108050
3,Koppal,29,0,0,0,0,2900
4,Raichur,555,0,0,0,0,54750
IX,Karnataka Railways,5,0,0,0,0,1900
Total,,16031,10,2,21,9,1751250
