MAJOR HEADS FOR THE YEAR 2025 (UPTO DECEMBER),,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMBLI
NG","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,192,467,138,27,295,213,634,8203,447,77,3580,576,34,891,4226,1030,261,503,929,10668,373,206
2,Mysuru City,18,38,8,5,5,7,47,264,2,8,307,28,3,171,835,54,23,42,113,195,48,23
3,Hubballi Dharwad City,11,143,8,6,11,10,58,135,7,20,94,71,4,97,272,53,51,360,0,190,24,33
4,Mangaluru City,13,54,18,7,5,6,33,283,3,15,145,38,1,162,852,54,34,127,16,148,46,33
5,Belagavi City,17,66,13,2,6,28,78,229,12,34,179,86,0,150,403,31,24,158,3,104,37,10
6,Kalaburagi City,30,51,11,3,13,25,92,266,0,49,211,80,2,114,416,48,31,314,41,56,27,18
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,58,86,18,6,32,53,214,1186,17,71,579,133,9,626,1798,228,91,129,27,444,63,54
8,Bengaluru South,36,64,18,3,15,34,107,415,0,35,417,31,3,401,1102,207,61,160,56,229,85,17
9,Tumakuru,38,127,25,7,22,37,177,611,0,48,771,68,4,689,1870,349,139,704,129,272,161,54
10,Kolar,26,66,11,2,13,24,77,195,0,121,317,27,5,259,515,100,29,60,19,78,107,22
11,Chickballapura,34,53,12,1,5,24,79,255,0,123,388,66,3,349,601,121,45,423,4,222,160,23
12,K.G.F,10,22,8,1,2,13,53,96,6,20,176,6,0,66,155,20,9,33,16,77,29,7
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,22,95,25,3,7,33,65,358,3,222,667,110,5,381,1168,327,65,634,54,71,125,40
14,Davanagere,17,79,11,9,19,36,156,448,0,209,379,121,2,295,758,216,76,468,33,115,79,32
15,Shivamogga,38,202,20,12,30,37,125,472,5,164,805,77,2,344,1069,269,102,462,92,158,190,61
16,Haveri,25,95,19,2,10,18,149,456,2,220,217,36,2,254,542,55,72,591,33,100,130,23
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,7,20,7,1,4,18,27,154,0,29,173,26,0,134,692,51,28,18,12,138,50,35
18,Udupi,11,38,17,1,3,7,61,286,2,21,156,31,0,258,850,38,57,133,3,198,33,16
19,Chikkamagaluru,31,65,10,3,11,23,67,213,0,48,568,54,5,205,683,159,73,186,19,94,109,53
20,Uttara Kannada,17,39,18,2,7,14,75,150,0,62,344,42,0,194,615,185,53,588,15,68,61,20
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,69,139,24,6,16,25,150,401,0,271,411,87,3,750,1305,209,128,865,28,85,123,52
22,Bagalkot,33,125,10,1,6,28,90,234,0,112,176,34,2,363,512,117,70,628,19,41,60,18
23,Vijayapur,68,115,24,5,13,23,86,326,1,172,385,118,2,424,571,128,84,634,3,371,94,30
24,Dharwad,23,29,1,2,4,22,29,86,0,42,85,16,2,203,276,25,48,268,8,51,24,4
25,Gadag,9,26,6,2,4,15,54,170,1,85,86,23,2,153,163,36,45,546,26,62,50,9
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,36,60,21,3,5,37,133,406,0,143,388,85,4,280,586,120,45,510,30,30,72,20
27,Bidar,31,77,9,2,6,37,105,278,2,110,606,130,1,327,741,47,39,551,14,43,42,14
28,Yadgir,21,73,16,1,0,11,53,200,0,107,211,49,1,166,271,107,76,517,17,24,104,11
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,45,70,2,3,16,28,186,336,0,134,822,55,4,476,1831,249,43,203,36,69,128,43
30,Mandya,36,91,17,2,8,43,114,354,2,28,687,52,1,465,1944,277,83,267,39,82,98,53
31,Chamarajanagar,27,46,9,3,3,17,100,157,0,42,372,37,1,221,600,180,50,160,37,35,53,35
32,Hassan,36,149,25,3,5,49,141,348,1,58,894,88,2,485,1620,205,116,206,66,96,145,36
33,Kodagu,16,51,9,3,5,15,39,128,0,4,286,20,0,61,440,54,23,33,1,77,78,32
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,25,62,13,2,5,18,60,299,1,88,208,100,0,225,340,61,34,1135,6,93,90,57
35,Koppal,21,46,16,0,4,26,53,256,4,87,143,75,1,266,438,117,53,723,2,26,57,23
36,Raichur,35,132,32,0,2,30,72,595,0,206,289,91,4,288,342,191,121,702,62,25,70,9
37,Vijayanagara,14,90,7,1,1,17,66,218,0,104,179,63,1,213,348,118,27,693,20,39,82,20
,Karnataka Railways,14,7,0,1,7,0,0,521,25,2,12,0,1,2,1,4,2,0,0,11,0,2
,Total,1210,3258,656,143,625,1101,3905,19988,543,3391,16713,2830,116,11408,31751,5840,2411,14734,2028,14885,3307,1248
