"Unitwise Statistics of Cases Booked & Fine Collected under COTPA Act 2003
during the Month of December - 2025",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section 7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,4971,15,10,43,41,700850
2,Mysuru City,547,0,0,0,0,53900
3,Hubli-Dharwad City,10,0,0,0,0,1700
4,Mangaluru City,374,0,0,0,0,10665
5,Belagavi City,65,0,0,0,0,4850
6,Kalburgi City,113,0,0,0,0,20300
II,Central Range,,,,,,
1,Bengaluru Dist.,89,0,0,0,0,8900
2,K.G.F.,253,0,0,0,0,17300
3,Kolar,235,0,0,0,0,23500
4,Tumakuru,1343,0,31,0,0,132750
5,Chickballapura,102,0,0,0,0,10500
6,Ramanagara,447,0,0,0,0,47200
III,Eastern Range,,,,,,
1,Chitradurga,1232,0,0,0,0,89580
2,Davanagere,710,0,0,0,0,53900
3,Shivamogga,1069,0,0,0,0,60150
4,Haveri,164,0,0,0,0,14900
IV,Western Range,,,,,,
1,Chickmagalur,35,0,0,0,0,2650
2,D.K.,537,0,0,0,0,29585
3,Udupi,292,0,0,0,0,33900
4,U.K.,723,0,0,0,0,74450
V,Northern Range,,,,,,
1,Bagalakote,12,0,0,0,0,2800
2,Belagavi dist.,78,0,0,0,0,7800
3,Vijayapura,31,0,0,0,0,3100
4,Dharwad,114,0,0,0,0,11450
5,Gadag,926,0,0,0,0,89250
VI,North Eastern Range,,,,,,
1,Bidar,0,0,0,0,0,0
2,Kalburgi,56,0,0,0,0,7200
3,Yadgiri,114,0,0,0,0,11400
VII,Southern Range,,,,,,
1,Chamarajanagar,426,0,0,0,0,23400
2,Hassan,211,0,0,0,0,18850
3,Kodagu,97,0,0,0,0,8750
4,Mandya,428,0,0,0,0,40050
5,Mysuru Dist.,54,0,0,0,0,5400
VIII,Ballari Range,,,,,,
1,Ballari,328,0,0,0,0,32800
2,Vijayanagara,523,0,0,0,0,C
3,Koppal,86,0,0,0,0,8100
4,Raichur,809,0,0,0,0,63800
IX,Karnataka Railways,1,0,0,0,0,300
Total,,17605,15,41,43,41,1725980
