Sl. No.,Heads of Crime,"During the
current year upto
the end of month
under review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
50,"INSULTING MODESTY OF WOMEN (EVE
TEASING) (Sec.509 IPC)",,,,
,Attempt to Commit,0,1,0,0
,Office,0,2,0,0
,Public Conveyance,0,1,0,0
,Public Place,4,2,0,4
,Other Places,10,1,5,5
,Sub Total,14,7,5,9
51,"SUICIDE (Sec.305, 306, 309 IPC)",,,,
,Dowry,1,0,1,0
,Abetment of Suicide,44,23,21,23
,Other Reasons,49,33,22,27
,Attempt to Commit suicide,17,16,10,7
,Sub Total,111,72,54,57
52,UNNATURAL SEX (Sec.377 IPC),,,,
,Abetment,0,0,0,0
,Animal,0,0,0,0
,Attempt,0,0,0,0
,Major - Man,0,0,0,0
,Major - Woman,0,0,0,0
,Minor - Boy,0,0,0,0
,Minor - Girl,0,0,0,0
,Sub Total,0,0,0,0
53,"WRONGFUL RESTRAINT/CONFINEMENT
(Sec.341 to 348 IPC)",,,,
,Attempt to Commit,1,2,1,0
,To Extort Confession,2,0,1,1
,To Extort Property,3,2,1,2
,To settle Dispute,2,3,0,2
,Others,52,27,23,29
,Sub Total,60,34,26,34
54,"INFANTICIDE (Sec.315, 316 IPC)",,,,
,Male,0,0,0,0
,Female,0,0,0,0
,Sub Total,0,0,0,0
55,"OFFENCES RELATED TO MARRIAGE (Sec.493 to
498 IPC)",10,5,4,6
56,"BUYING & SELLING MINOR FOR PROSTITUTION
(Sec.372, 373 IPC)",0,0,0,0
57,"DOCUMENTS & PROPERTY MARKS (Sec.483 to
489 IPC)",,,,
,Documents,0,0,0,0
,Property,0,0,0,0
,Sub Total,0,0,0,0
58,DEFAMATION (Sec.500 to 502 IPC),,,,
,Persons,2,0,2,0
,Printed Matter,2,0,2,0
,Others,1,0,0,1
,Sub Total,5,0,4,1
59,ELECTION(Sec.171(E) to 171(1) IPC),,,,
,Assembly,0,0,0,0
,Parliament,1,0,0,1
,Other Elected Bodies,3,0,0,3
,Sub Total,4,0,0,4
60,"SLAVERY (Sec.370, 371, 374 IPC)",,,,
,Man,0,0,0,0
,Woman,0,0,0,0
,Boy,0,0,0,0
,Girl,0,0,0,0
,Sub Total,0,0,0,0
