Sl N,oUnit_Name,FIR Registered,FIR eSign,FIR %
1,Bagalkot District,307,307,100.00
2,Ballari District,308,308,100.00
3,Belagavi City,162,162,100.00
4,Belagavi District,561,561,100.00
5,Bengaluru District,945,945,100.00
6,Bidar District,370,370,100.00
7,Chamarajanagar District,259,259,100.00
8,Chikkamagaluru District,354,354,100.00
9,Chitradurga District,482,482,100.00
10,Dakshina Kannada District,217,217,100.00
11,Dharwad District,144,144,100.00
12,Gadag District,167,167,100.00
13,Hassan District,606,606,100.00
14,KODAGU(Madikeri) District,244,244,100.00
15,Koppal District,241,241,100.00
16,Mandya District,492,492,100.00
17,Mangalore COP,309,309,100.00
18,Mysuru City,294,294,100.00
19,Mysuru District,512,512,100.00
20,Raichur District,325,325,100.00
21,SP Railways,76,76,100.00
22,Vijayanagara District,222,222,100.00
23,Yadgir District,182,182,100.00
24,Hubballi Dharwad City,260,259,99.62
25,Vijayapur District,441,439,99.55
26,Kalaburagi City,219,218,99.54
27,Shivamogga District,615,612,99.51
28,Kolar District,255,253,99.22
29,Udupi District,339,335,98.82
30,Tumakuru District,771,758,98.31
31,K.G.F District,125,122,97.60
32,Chickballapura District,373,362,97.05
33,Bengaluru City,5793,5368,92.66
34,Haveri District,426,359,84.27
35,Ramanagara District,412,338,82.04
36,Davanagere District,449,313,69.71
37,Kalaburagi District,274,179,65.33
38,Uttara Kannada District,336,213,63.39
39,Coastal Security Police,11,0,0.00
Total,,18878,17907,94.86
