"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - January - 2026,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The Service wise
details of received, disposed and overdue status of services for January 2026 as on 31.01.2026 are as
under",,,,
Sl. No,Service Name,"Stipulated
Time","No. of Receipts
During the
Month","No. of Disposal
During the Month as
on 31.12.2025"
1,Certification of Finger Print,20,1,0
2,Disposal of Petitions,45,30014,30329
3,Issue of copy of FIR to the complaintant,1,20114,20114
4,License for Amplified Sound System,3,1683,1677
5,"Missing Report of documents, Mobile phone etc",1,2430,2430
6,"No objection to return to India permission in
respect of Tibetans",20,0,0
7,No obligation to return to India (NORI) Certificate,20,0,0
8,NOC Arms License Verification,30,0,0
9,NOC for Crackers License,7,1,0
10,NOC for License for Amusement,15,0,0
11,NoC for Passport Verification,20,876,829
12,"NOC for petrol pump,gas agency,hotel,bar etc.",7,3,2
13,"NOC required for setting up of Petroleum, Diesel
and Naphtha, Sale, Transport",21,0,0
14,"NOC, Issue of Extension of Residencial Permit of
Foreigners",7,0,0
15,Permission for Peaceful Assembly and procession,15,1,0
16,"Police Verification Certificate (PVC) for Central ,
State Govt. employees if request is received
directly by the employee",20,345,310
17,"Police verification Certificate (PVC) for
Coolies,Loader,Class IV Security Staff, Supervisor
at Airport (Individual applicants only)",20,8815,8738
18,"Police Verification Certificate for domestic
servants/house keeping",20,0,0
19,"Police Verification Certificate for Institutions/
Companies",20,85,75
20,Police verification Certificate for Marriage Alliances,20,34,33
21,"Police verification Certificate for Training
Apprenticeship at Public Undertakings /for trainees/
Workers working on daily wages at Govt.
Institutions",20,6294,6147
22,Service Verification,20,35793,33968
23,Temporary Licence for Sale of Crackers,7,0,0
24,Tenant Verification,21,393,209
,Total,,106882,104861
