"Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of
January- 2026",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,3611,0,33,18,43,583050
2,Mysuru City,1426,0,0,0,0,233450
3,Hubli-Dharwad City,3,0,0,0,0,600
4,Mangaluru City,134,0,0,0,0,5770
5,Belagavi City,86,0,0,0,0,4600
6,Kalburgi City,102,0,0,0,0,18500
II,Central Range,,,,,,
1,Bengaluru Dist.,92,0,0,0,0,8900
2,K.G.F.,102,0,0,0,0,5200
3,Kolar,309,0,0,0,0,28450
4,Tumakuru,1379,0,0,0,0,181300
5,Chickballapura,153,0,0,0,0,15250
6,Ramanagara,251,0,0,0,0,25100
III,Eastern Range,,,,,,
1,Chitradurga,1109,0,0,0,0,81760
2,Davanagere,1580,0,0,0,0,165980
3,Shivamogga,1017,0,0,0,0,58150
4,Haveri,140,0,0,0,0,12500
IV,Western Range,,,,,,
1,Chickmagalur,112,0,0,0,0,18300
2,D.K.,307,0,0,0,0,17915
3,Udupi,452,0,0,0,0,48150
4,U.K.,543,0,0,0,0,63250
V,Northern Range,,,,,,
1,Bagalakote,11,0,0,0,26,910
2,Belagavi dist.,50,0,0,0,0,10000
3,Vijayapura,16,0,0,0,0,1600
4,Dharwad,61,0,0,36,0,10300
5,Gadag,973,0,0,0,0,88750
VI,North Eastern Range,,,,,,
1,Bidar,55,0,0,0,0,6300
2,Kaburgi,5,0,0,0,0,1000
3,Yadgiri,65,0,0,0,0,6500
VII,Southern Range,,,,,,
1,Chamarajanagar,1359,0,0,0,0,82150
2,Hassan,566,0,0,0,0,34450
3,Kodagu,117,0,0,0,0,14550
4,Mandya,328,0,0,0,0,29100
5,Mysuru Dist.,58,0,0,0,0,5800
VIII,Ballari Range,,,,,,
1,Ballari,196,0,0,0,0,19600
2,Vijayanagara,801,0,0,0,0,78450
3,Koppal,18,0,0,0,0,1800
4,Raichur,512,0,0,0,0,51200
IX,Karnataka Railways,1,0,0,0,0,200
Total,,18100,0,33,54,69,2018835
