Aadhaar e-Sign details of Chargesheet for the Month of March 2024,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Dharwad District,87,86,98.85
2,Mangalore COP,219,216,98.63
3,Mysuru City,236,231,97.88
4,Chikkamagaluru District,218,213,97.71
5,Uttara Kannada District,132,128,96.97
6,Udupi District,157,152,96.82
7,Koppal District,101,97,96.04
8,Dakshina Kannada District,100,96,96.00
9,Gadag District,110,104,94.55
10,Belagavi District,211,186,88.15
11,Ballari District,179,146,81.56
12,SP Railways,5,4,80.00
13,Chamarajanagar District,172,137,79.65
14,Bengaluru District,378,298,78.84
15,Vijayanagara District,140,104,74.29
16,Mysuru District,344,255,74.13
17,Mandya District,348,255,73.28
18,Belagavi City,67,49,73.13
19,Yadgir District,79,56,70.89
20,Hubballi Dharwad City,117,81,69.23
21,Vijayapur District,163,111,68.10
22,Chitradurga District,137,91,66.42
23,Bengaluru City,1867,1238,66.31
24,Bagalkot District,90,58,64.44
25,Hassan District,440,279,63.41
26,KODAGU(Madikeri) District,138,79,57.25
27,Kalaburagi City,67,36,53.73
28,Haveri District,162,84,51.85
29,Shivamogga District,315,163,51.75
30,Raichur District,244,110,45.08
31,K.G.F District,56,21,37.50
32,Bidar District,181,60,33.15
33,Tumakuru District,387,125,32.30
34,Davanagere District,342,106,30.99
35,Kolar District,79,19,24.05
36,Kalaburagi District,64,12,18.75
37,Ramanagara District,120,16,13.33
38,Chickballapura District,166,13,7.83
Total,,8418,5515,65.51
