"Unitwise Statistics of cases Booked under COTPA Act 2003
for the month of MARCH- 2024",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,2393,4,18,17,20,348150
2,Mysuru City,136,0,0,0,0,20500
3,Hubli-Dharwad City,0,0,0,0,0,0
4,Mangaluru City,179,0,0,0,0,9925
5,Belagavi City,715,0,0,0,0,47250
6,Kalburgi City,0,0,0,0,0,0
II,Central Range,,,,,,
1,Bengaluru Dist.,165,0,0,0,0,13700
2,K.G.F.,84,0,0,0,0,7890
3,Kolar,296,0,0,0,0,27650
4,Tumakuru,72,0,0,0,0,9100
5,Chickballapura,34,0,0,0,0,3400
6,Ramanagara,117,0,0,0,0,16900
III,Eastern Range,,,,,,
1,Chitradurga,58,0,0,0,0,5800
2,Davanagere,194,0,0,0,0,19000
3,Shivamogga,233,0,0,0,0,20000
4,Haveri,30,0,0,0,0,2700
IV,Western Range,,,,,,
1,Chickmagalur,158,0,0,0,0,15000
2,D.K.,119,0,0,0,0,9930
3,Udupi,409,0,0,0,0,44900
4,U.K.,77,0,0,0,0,6650
V,Northern Range,,,,,,
1,Bagalakote,147,0,0,0,0,16450
2,Belagavi dist.,26,0,0,0,0,2600
3,Vijayapura,12,0,0,0,0,800
4,Dharwad,132,0,0,0,0,17450
5,Gadag,428,0,0,0,0,42800
VI,North Eastern Range,,,,,,
1,Bidar,5,0,0,0,0,500
2,Kaburgi,74,0,0,0,0,7650
3,Yadgiri,25,0,0,0,0,2400
VII,Southern Range,,,,,,
1,Chamarajanagar,149,0,0,0,0,12250
2,Hassan,143,0,0,0,0,11100
3,Kodagu,31,0,0,0,0,2350
4,Mandya,333,0,0,0,0,30300
5,Mysuru Dist.,48,0,0,0,0,4800
VIII,Ballari Range,,,,,,
1,Ballari,605,0,0,0,0,57900
2,Vijayanagara,50,0,0,0,0,5200
3,Koppal,111,0,0,0,0,10600
4,Raichur,487,0,0,0,0,44900
IX,Karnataka Railways,58,0,0,0,0,5800
Total,,8333,4,18,17,20,904295
