"Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of
April- 2024",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,1384,0,5,3,12,217050
2,Mysuru City,38,0,0,0,0,3900
3,Hubli-Dharwad City,8,0,0,0,0,1000
4,Mangaluru City,96,0,0,0,0,6300
5,Belagavi City,300,0,0,0,0,19550
6,Kalburgi City,0,0,0,0,0,0
II,Central Range,,,,,,
1,Bengaluru Dist.,19,0,0,0,0,1650
2,K.G.F.,59,0,0,,0,4600
3,Kolar,160,0,0,0,0,16200
4,Tumakuru,25,0,0,0,0,4100
5,Chickballapura,0,0,0,0,0,0
6,Ramanagara,129,0,0,0,0,15300
III,Eastern Range,,,,,,
1,Chitradurga,69,0,0,0,0,5380
2,Davanagere,291,0,0,0,0,28900
3,Shivamogga,132,0,0,,0,14250
4,Haveri,30,0,0,0,0,2700
IV,Western Range,,,,,,
1,Chickmagalur,73,0,0,0,0,5350
2,D.K.,75,0,0,0,0,4850
3,Udupi,67,0,0,0,0,7150
4,U.K.,48,0,0,0,0,4500
V,Northern Range,,,,,,
1,Bagalakote,125,0,0,0,0,12600
2,Belagavi dist.,0,0,0,0,0,0
3,Vijayapura,0,0,0,0,0,0
4,Dharwad,38,0,0,0,0,4000
5,Gadag,453,0,0,0,0,42650
VI,North Eastern Range,,,,,,
1,Bidar,0,0,0,0,0,0
2,Kaburgi,40,0,0,0,0,5600
3,Yadgiri,13,0,0,0,0,1300
VII,Southern Range,,,,,,
1,Chamarajanagar,18,0,0,0,0,1650
2,Hassan,138,0,0,0,0,7900
3,Kodagu,23,0,0,0,0,2050
4,Mandya,112,0,0,0,0,10950
5,Mysuru Dist.,26,0,0,0,0,2700
VIII,Ballari Range,,,,,,
1,Ballari,523,0,0,0,0,48300
2,Vijayanagara,148,0,21,0,0,15550
3,Koppal,151,0,0,0,0,13350
4,Raichur,724,0,0,0,0,47950
IX,Karnataka Railways,11,0,0,0,0,1600
Total,,5546,0,26,3,12,580880
