MAJOR HEADS FOR THE MONTH MAY-2024,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLES-
TATION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,18,44,20,6,83,17,73,929,15,410,65,5,64,346,129,17,65,96,1769,46,36
2,Mysuru City,2,5,3,0,8,1,5,45,2,46,4,0,19,76,6,2,5,11,23,4,1
3,"Hubballi Dharwad
City",2,5,1,0,1,2,7,19,2,18,17,1,6,27,17,6,21,,31,5,4
4,Mangaluru City,0,9,2,0,5,4,8,23,2,18,2,0,12,94,8,3,36,4,13,6,3
5,Belagavi City,2,7,2,3,3,1,7,31,9,10,5,0,10,44,6,7,3,,9,2,1
6,Kalaburagi City,1,9,1,0,5,1,12,25,8,17,7,0,9,33,6,4,15,3,3,0,0
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,5,8,2,3,6,5,23,144,12,59,14,0,58,190,23,6,9,3,81,8,3
8,Ramanagara,7,7,1,0,7,7,14,50,3,40,4,0,33,122,35,7,8,2,34,9,6
9,Tumakuru,8,16,3,0,2,10,13,66,1,61,9,0,58,168,24,10,55,12,38,14,9
10,Kolar,2,9,0,1,2,0,8,19,5,37,5,0,20,61,12,2,21,1,5,5,4
11,Chickballapura,1,7,2,1,1,2,11,34,16,45,5,0,25,46,17,9,18,4,18,19,16
12,K.G.F,0,2,1,0,1,0,4,15,3,22,0,0,4,8,9,0,1,1,13,4,2
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,1,12,4,0,1,0,7,40,18,65,18,0,34,118,50,4,40,4,6,7,3
14,Davanagere,3,12,3,0,5,2,8,30,19,29,9,1,24,62,16,4,29,4,23,9,7
15,Shivamogga,4,16,1,1,3,3,12,46,16,69,6,0,39,115,24,2,32,4,16,11,8
16,Haveri,2,9,3,0,5,3,14,41,19,22,5,0,25,52,16,5,27,5,18,7,7
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,2,2,0,0,1,0,6,22,6,30,2,0,11,79,9,2,,,19,6,3
18,Udupi,0,6,4,1,0,4,6,23,6,26,12,0,18,91,12,2,11,1,27,11,7
19,Chikkamagaluru,3,4,0,2,0,2,4,15,6,46,6,0,24,72,12,3,18,,17,10,6
20,Uttara Kannada,2,7,2,0,1,4,7,12,9,43,2,0,31,91,28,5,20,1,8,10,6
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,6,13,0,1,1,3,7,43,34,58,10,0,50,126,22,14,22,3,3,13,9
22,Bagalkot,1,14,1,0,1,0,15,18,7,12,3,0,23,47,13,6,43,3,2,4,0
23,Vijayapur,6,9,4,0,4,2,9,31,8,61,10,0,25,54,16,7,39,,3,5,4
24,Dharwad,2,0,0,0,1,0,2,5,6,27,4,0,7,36,4,3,10,,9,4,3
25,Gadag,2,3,2,0,0,2,4,16,11,6,3,0,9,13,7,3,38,,9,4,3
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,3,14,2,1,2,1,7,50,14,42,5,1,29,39,9,6,20,2,5,5,4
27,Bidar,3,5,0,0,0,3,11,26,19,71,12,0,32,56,0,1,27,1,11,7,3
28,Yadgir,1,15,1,0,0,1,5,18,20,30,9,0,16,31,13,4,10,2,1,3,2
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,4,7,1,0,5,1,21,38,32,112,6,0,43,150,15,5,12,2,8,6,5
30,Mandya,2,5,1,1,7,4,10,31,7,68,4,1,43,147,22,4,29,5,8,6,4
31,Chamarajanagar,0,5,4,0,0,1,7,12,5,37,1,0,17,37,10,1,5,2,4,6,6
32,Hassan,3,11,3,0,6,5,12,38,5,90,9,0,35,153,31,6,10,5,12,17,13
33,Kodagu,1,0,0,0,1,2,7,7,2,26,0,0,5,40,5,0,0,2,14,2,2
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,2,4,1,0,4,1,11,26,6,18,9,0,14,37,9,1,39,,8,5,4
35,Koppal,2,2,2,0,3,1,3,15,7,7,14,0,26,36,9,3,27,,8,5,4
36,Raichur,4,9,1,0,3,5,4,56,26,19,19,0,24,35,23,5,68,4,3,2,1
37,Vijayanagara,3,10,0,0,2,3,7,16,11,25,10,0,19,26,15,1,15,1,0,7,7
,Karnataka Railways,3,2,0,0,2,0,0,55,0,3,0,0,0,0,0,0,,,0,0,0
Total,,113,324,78,21,182,103,391,2130,397,1825,325,9,941,2958,682,170,848,188,2279,294,206
