"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - May - 2024,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise details
of received, disposed and overdue status of services for May 2024 as on 31.05.2024 are as under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 31.05.2024"
1,Bengaluru City,35244,33848,12
2,Belagavi City,2714,2948,237
3,Hubli-Dharwad City,1670,2162,231
4,Mysore City,4098,4125,37
5,Mangalore City,3929,4108,138
6,Bagalkot,1544,1463,29
7,Ballari,1348,1348,29
8,Belagavi,1507,1476,33
9,Bengaluru Rural,2879,2303,827
10,Bidar,1212,1047,194
11,Chamarajanagar,1617,1664,54
12,Chikkaballapura,2147,2176,7
13,Chikkamagaluru,2336,2647,6
14,Chitradurga,2198,2386,23
15,Dakshina Kannada,691,910,12
16,Davanagere,2106,1882,2
17,Dharwad,1315,1242,155
18,Gadag,767,702,3
19,Hassan,2850,3032,79
20,Haveri,1471,1342,25
21,Kalaburagi,1191,1089,11
22,Kodagu,1061,1074,0
23,Kolar,1651,1516,19
24,KGF,952,1233,1
25,Koppal,701,711,0
26,Mandya,2983,2820,20
27,Mysuru,2843,2578,1
28,Raichur,878,889,17
29,Ramanagara,2598,2390,27
30,Shivamogga,2925,2980,65
31,Tumakuru,3496,3554,85
32,Udupi,2380,2262,0
33,Uttara Kannada,2739,2977,13
34,VijayaNagara,1052,1123,4
35,Vijayapura,1916,1927,36
36,Yadgir,523,498,20
,Total,103532,102432,2452
