Sl.No,Service Name,Received,Disposed,Pending
1,Job / Service Verification,30124,17666,12458
2,"Police Verification Certificate(PVC) for
Central/State Govt employees if request
is received directly by the employee / By
Concerned Department",544,278,266
3,"Police Clearance Certificate for going
abroad (Visa for studies)/ Police
Clearance Certificate for Foreign Nationals",366,257,109
4,"Police verification Certificate for
Coolies/Loader/Class IV Security Staff/
Supervisor at Airport (Individual
applicants only)",7132,4363,2769
5,"Police Verification Certificate for domestic
servants/house keeping",0,0,0
6,"Police Verification Certificate for
Institutions/ Companies",60,19,41
7,"Police verification Certificate for Marriage
Alliances",40,29,11
8,"Police verification Certificate for Training
Apprenticeship at Public Undertakings /for
trainees/ Workers working on daily wages
at Govt. Institutions",3351,1784,1567
9,Amplified Sound System,421,372,49
10,"Missing Report of documents, Mobile
phone etc",687,121,566
11,Disposal of petitions,60,7,53
12,Locked Home Details,0,0,0
13,Senior Citizen Registration,0,0,0
14,Complaint Registration,0,0,0
15,License for Amusement,0,0,0
16,"No obligation to return to India (NORI)
Certificate",0,0,0
17,"NOC for petrol pump,gas
agency,hotel,bar etc.",2,0,2
18,"Permission for Peaceful Assembly and
procession",0,0,0
19,"Application for Temporary License for
Sale of Crackers",0,0,0
20,"NOC for setting up of Petroleum, Diesel
and Naphtha sale and transport",0,0,0
Total,,42787,24896,17891
