Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of MAY- 2024,,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine Amount
Collected"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,4400,0,20,9,19,653850
2,Mysuru City,190,0,0,0,0,21000
3,Hubli-Dharwad City,4,0,0,0,0,4250
4,Mangaluru City,183,0,0,0,0,10925
5,Belagavi City,229,0,0,0,0,15600
6,Kalburgi City,Nil,0,0,0,0,0
II,Central Range,,,,,,
1,Bengaluru Dist.,750,0,0,0,0,65650
2,K.G.F.,203,0,0,0,0,15310
3,Kolar,163,0,0,0,0,16400
4,Tumakuru,474,0,0,0,0,59100
5,Chickballapura,97,0,0,0,0,7700
6,Ramanagara,112,0,0,0,0,12700
III,Eastern Range,,,,,,
1,Chitradurga,157,0,0,0,0,14550
2,Davanagere,336,0,0,0,0,34700
3,Shivamogga,710,0,0,0,0,51390
4,Haveri,26,0,0,0,0,1700
IV,Western Range,,,,,,
1,Chickmagalur,111,0,0,0,0,11600
2,D.K.,85,0,0,0,0,4550
3,Udupi,105,0,0,0,0,10600
4,U.K.,47,0,0,0,0,4800
V,Northern Range,,,,,,
1,Bagalakote,30,0,0,0,0,3000
2,Belagavi dist.,Nil,0,0,0,0,0
3,Vijayapura,183,0,15,0,0,22300
4,Dharwad,80,0,0,0,0,8900
5,Gadag,852,0,0,0,0,75550
VI,North Eastern Range,,,,,,
1,Bidar,206,0,0,0,0,19450
2,Kalaburgi,23,0,0,0,0,2900
3,Yadgiri,48,0,0,0,0,4700
VII,Southern Range,,,,,,
1,Chamarajanagar,81,0,0,0,0,4500
2,Hassan,71,0,0,0,0,3550
3,Kodagu,78,0,0,0,0,9400
4,Mandya,329,0,0,0,0,30250
5,Mysuru Dist.,30,0,0,0,0,5400
VIII,Ballari Range,,,,,,
1,Ballari,615,0,0,0,0,56950
2,Vijayanagara,108,0,0,0,0,11700
3,Koppal,206,0,0,0,0,19450
4,Raichur,531,0,0,0,0,56400
IX,Karnataka Railways,62,0,0,0,0,8400
Total,,11915,0,35,9,19,1359175
