MAJOR HEADS FOR THE MONTH JUNE-2024,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
- DAY","BURGLARY
- NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLES-
TATION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,20,26,23,8,72,17,72,859,7,316,54,1,60,346,116,15,42,81,1535,49,41
2,Mysuru City,3,8,2,0,4,0,11,35,1,16,0,1,10,83,8,0,9,6,37,3,2
3,Hubballi Dharwad City,1,4,1,0,3,3,4,17,2,20,6,1,8,24,5,3,26,,36,6,5
4,Mangaluru City,0,6,4,2,0,1,6,21,2,12,2,0,16,67,7,2,12,3,6,5,3
5,Belagavi City,1,6,1,0,6,2,5,20,6,16,9,0,8,31,7,4,9,,11,1,1
6,Kalaburagi City,1,4,2,0,6,1,9,27,5,21,5,1,7,30,1,3,13,3,6,2,2
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,5,8,1,2,7,8,24,133,9,58,17,2,53,172,22,4,18,1,85,6,3
8,Ramanagara,1,2,0,1,6,4,9,42,1,42,7,0,33,106,12,1,11,1,30,5,5
9,Tumakuru,2,14,1,5,6,3,25,66,5,54,4,0,54,166,24,8,47,11,36,14,10
10,Kolar,2,4,0,1,1,3,8,20,9,41,5,1,21,51,16,5,9,,5,8,8
11,Chickballapura,3,5,0,0,3,4,4,23,16,36,8,0,18,51,17,3,21,1,17,13,10
12,K.G.F,0,1,0,0,0,3,8,10,3,7,0,0,6,10,5,2,14,1,13,1,1
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,4,6,2,0,2,4,11,37,28,80,14,0,34,105,42,3,35,2,15,8,7
14,Davanagere,0,11,0,1,6,1,15,38,18,28,9,0,23,58,24,3,0,3,15,9,8
15,Shivamogga,4,10,1,0,5,2,11,43,23,57,11,0,33,97,19,10,36,15,15,15,10
16,Haveri,1,5,1,0,0,1,14,45,37,17,2,0,13,51,9,1,11,,14,7,7
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,3,3,0,0,1,1,8,10,3,18,3,0,9,52,2,8,1,1,5,7,4
18,Udupi,0,4,0,2,2,1,6,22,2,21,4,0,10,82,5,3,8,1,20,4,2
19,Chikkamagaluru,2,1,0,0,0,5,4,31,2,43,5,1,9,44,10,0,25,,8,9,3
20,Uttara Kannada,1,6,1,0,1,1,6,10,10,29,7,0,16,81,15,6,22,2,3,8,6
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,3,8,0,0,2,3,12,44,21,39,10,0,41,116,26,2,30,,5,7,4
22,Bagalkot,3,11,1,1,0,2,9,30,9,13,5,0,18,33,15,1,27,2,8,10,8
23,Vijayapur,7,5,2,0,0,5,9,25,11,35,13,0,21,49,17,5,37,1,8,6,5
24,Dharwad,0,3,0,0,0,0,0,9,8,12,2,0,13,19,2,0,63,,6,5,3
25,Gadag,0,1,1,0,0,0,5,16,8,12,0,0,6,10,4,3,13,1,8,2,2
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,4,6,2,0,0,4,9,27,10,39,9,0,18,41,7,4,14,3,6,2,1
27,Bidar,3,3,1,1,1,3,7,44,15,51,16,0,20,53,4,5,21,,9,4,4
28,Yadgir,1,3,1,0,1,0,2,26,12,31,6,0,9,21,7,3,33,,0,4,4
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,2,2,1,0,3,6,21,52,5,54,9,1,29,112,20,3,13,1,9,12,9
30,Mandya,1,7,0,1,1,4,13,33,5,37,5,0,34,114,18,9,33,5,5,7,4
31,Chamarajanagar,2,5,0,0,0,0,8,7,2,33,1,1,19,42,14,3,6,1,0,9,7
32,Hassan,5,11,1,4,4,5,19,28,7,79,9,0,32,160,31,8,22,4,20,8,6
33,Kodagu,1,6,1,0,1,0,4,4,1,26,3,0,9,29,10,5,3,,8,6,4
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,0,4,0,0,1,0,6,27,19,24,19,0,21,32,10,1,51,,13,2,0
35,Koppal,1,0,1,0,2,4,5,21,6,7,5,0,17,35,21,4,55,,0,4,4
36,Raichur,2,8,2,1,4,3,11,45,21,35,17,0,20,33,24,6,39,3,0,9,7
37,Vijayanagara,0,5,1,0,1,2,7,15,14,10,8,0,18,23,16,2,106,1,2,3,3
,Karnataka Railways,0,0,0,0,5,0,0,65,0,2,0,0,0,0,2,0,,,0,0,0
Total,,89,222,55,30,157,106,407,2027,363,1471,309,10,786,2629,614,148,935,154,2019,280,213
