MAJOR HEADS FOR THE MONTH JULY-2024,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
- DAY","BURGLARY
- NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLES-
TATION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,18,29,17,3,41,15,50,886,5,249,52,1,60,340,93,12,30,60,1651,40,31
2,Mysuru City,0,3,2,0,4,0,7,18,0,21,0,0,11,63,3,2,4,7,22,5,4
3,Hubballi Dharwad City,2,3,1,0,2,2,10,16,2,7,9,0,8,29,6,2,2,,23,5,4
4,Mangaluru City,0,3,3,1,2,3,5,22,0,14,1,0,8,54,4,3,18,5,9,6,2
5,Belagavi City,0,1,0,2,1,3,11,18,2,3,5,1,5,29,3,1,8,1,11,2,1
6,Kalaburagi City,1,4,1,0,4,0,9,35,6,13,6,1,7,32,1,3,27,1,5,3,2
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,3,9,2,3,12,6,37,151,8,46,20,0,51,165,18,12,11,1,93,8,3
8,Ramanagara,3,8,1,1,4,1,12,53,3,50,6,0,21,85,19,6,16,,16,10,9
9,Tumakuru,3,10,2,1,2,1,24,57,3,54,6,0,44,150,27,10,62,11,24,12,10
10,Kolar,2,3,2,0,3,1,4,39,4,31,2,0,22,49,4,3,14,,5,11,7
11,Chickballapura,1,2,1,1,4,1,10,30,10,41,2,0,30,42,11,4,45,,20,15,11
12,K.G.F,0,1,0,0,1,1,12,11,0,9,3,0,6,9,1,1,4,2,9,3,2
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,4,2,1,1,2,1,14,39,11,51,14,1,22,102,23,5,23,5,4,9,7
14,Davanagere,2,6,2,0,4,1,22,29,11,19,3,0,15,54,8,5,35,5,10,4,4
15,Shivamogga,2,8,2,0,4,3,13,26,8,57,8,0,16,87,21,5,20,6,11,16,15
16,Haveri,0,0,3,1,2,2,7,42,13,19,3,0,21,28,5,3,29,4,8,11,11
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,1,4,0,0,0,2,11,2,11,2,0,9,36,10,1,1,,16,3,1
18,Udupi,0,2,0,1,0,0,6,10,0,7,4,0,6,64,5,3,7,,17,4,4
19,Chikkamagaluru,2,1,2,0,2,0,9,16,1,38,2,0,10,54,5,5,20,1,5,9,7
20,Uttara Kannada,0,5,2,1,0,1,5,11,3,30,3,0,7,54,13,2,28,1,8,5,5
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,7,9,1,4,1,2,12,22,22,22,5,0,34,95,14,6,17,,6,7,6
22,Bagalkot,1,10,0,1,0,0,5,26,7,12,2,0,27,33,6,4,39,1,7,1,1
23,Vijayapur,3,13,1,1,2,1,9,30,14,19,7,1,27,44,8,5,28,,11,7,5
24,Dharwad,1,2,0,0,1,1,7,8,1,9,1,0,15,26,1,3,6,,1,2,0
25,Gadag,1,5,0,0,3,0,6,9,8,10,4,0,9,13,5,4,11,,5,3,3
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,3,4,0,1,2,1,6,23,8,24,8,1,16,40,7,2,16,6,5,3,1
27,Bidar,3,4,0,0,2,0,7,21,9,43,11,0,18,50,2,2,18,1,2,4,1
28,Yadgir,1,7,1,0,0,4,2,19,20,21,6,1,11,30,12,9,38,1,1,3,3
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,5,9,2,0,1,6,25,32,4,39,9,0,18,113,16,6,9,,7,9,7
30,Mandya,1,6,0,0,2,2,12,31,4,38,4,0,36,128,20,4,25,2,4,10,8
31,Chamarajanagar,0,1,0,0,5,1,7,21,2,28,2,1,22,54,19,2,13,1,3,4,4
32,Hassan,6,10,1,5,4,5,19,33,4,61,3,0,23,113,17,5,11,9,12,10,6
33,Kodagu,3,2,0,1,0,1,8,4,0,10,2,0,2,31,5,2,3,1,6,13,13
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,3,8,0,0,0,3,8,27,5,15,5,0,12,25,3,2,35,,17,7,3
35,Koppal,0,3,1,1,0,1,15,35,3,12,2,0,28,28,9,7,74,,3,4,4
36,Raichur,1,6,2,1,1,3,7,63,19,22,5,0,23,28,9,10,52,3,2,9,7
37,Vijayanagara,2,2,1,0,2,1,3,19,8,11,5,1,16,21,6,0,44,1,2,8,8
,Karnataka Railways,1,0,0,0,1,0,0,63,0,0,0,0,0,0,1,0,,,0,0,0
Total,,85,202,58,31,121,74,427,2006,230,1166,232,9,716,2398,440,161,843,136,2061,285,220
