"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - July - 2024,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise details
of received, disposed and overdue status of services for July 2024 as on 31.07.2024 are as under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 31.07.2024"
1,Bengaluru City,29740,32647,17
2,Belagavi City,2401,2307,34
3,Hubli-Dharwad City,1139,1253,225
4,Mysore City,3619,3443,25
5,Mangalore City,2823,2867,54
6,Bagalkot,1297,1382,6
7,Ballari,1148,1130,9
8,Belagavi,1001,1143,30
9,Bengaluru Rural,5117,3094,110
10,Bidar,953,1028,71
11,Chamarajanagar,1144,1279,27
12,Chikkaballapura,1738,1900,1
13,Chikkamagaluru,1384,1386,6
14,Chitradurga,1546,1525,11
15,Dakshina Kannada,614,659,2
16,Davanagere,1665,1897,3
17,Dharwad,922,1003,102
18,Gadag,599,615,1
19,Hassan,2215,2411,6
20,Haveri,1004,1259,3
21,Kalaburagi,1032,947,20
22,Kodagu,739,784,22
23,Kolar,2153,2416,8
24,KGF,778,900,0
25,Koppal,730,739,0
26,Mandya,2109,2379,18
27,Mysuru,1665,1999,1
28,Raichur,898,836,35
29,Ramanagara,2031,2283,0
30,Shivamogga,2190,2480,28
31,Tumakuru,2909,2656,39
32,Udupi,1366,1532,0
33,Uttara Kannada,1679,1849,6
34,VijayaNagara,804,854,16
35,Vijayapura,1696,1759,15
36,Yadgir,504,513,29
,Total,85352,89154,980
