"Statistics for Sevasindhu - ALL Services Application, dated from : 01/07/2024
to 31/07/2024",,,,
Sl.NO,Service Name,Received,Disposed,Pending
1,Job / Service Verification,35321,25298,10023
2,"Police Verification Certificate(PVC) for Central/State
Govt employees if request is received directly by the
employee / By Concerned Department",842,451,391
3,"Police Clearance Certificate for going abroad (Visa for
studies)/ Police Clearance Certificate for Foreign
Nationals",287,227,60
4,"Police verification Certificate for Coolies/Loader/Class
IV Security Staff/ Supervisor at Airport (Individual
applicants only)",7885,5355,2530
5,"Police Verification Certificate for domestic
servants/house keeping",0,0,0
6,"Police Verification Certificate for Institutions/
Companies",82,60,22
7,Police verification Certificate for Marriage Alliances,31,24,7
8,"Police verification Certificate for Training
Apprenticeship at Public Undertakings /for trainees/
Workers working on daily wages at Govt. Institutions",4543,2922,1621
9,Amplified Sound System,388,314,74
10,"Missing Report of documents, Mobile phone etc",372,73,299
11,Disposal of petitions,45,7,38
12,Locked Home Details,0,0,0
13,Senior Citizen Registration,0,0,0
14,Complaint Registration,0,0,0
15,License for Amusement,0,0,0
16,No obligation to return to India (NORI) Certificate,0,0,0
17,"NOC for petrol pump,gas agency,hotel,bar etc.",2,0,2
18,Permission for Peaceful Assembly and procession,0,0,0
19,Application for Temporary License for Sale of Crackers,0,0,0
20,"NOC for setting up of Petroleum, Diesel and Naphtha
sale and transport",0,0,0
Total,,49798,34731,15067
