"Unitwise Statistics of Cases Booked under COTPA Act, 2003 during the Month of JULY- 2024",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,Total Fine Amount Collected
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,4413,6,41,50,15,633400
2,Mysuru City,172,0,0,0,0,18950
3,Hubli-Dharwad City,150,0,0,0,0,17500
4,Mangaluru City,243,0,0,0,0,8525
5,Belagavi City,278,0,0,0,0,22000
6,Kalburgi City,21,0,0,0,0,4200
II,Central Range,,,,,,
1,Bengaluru Dist.,422,0,0,0,0,46000
2,K.G.F.,96,0,0,0,0,8150
3,Kolar,573,0,0,0,0,56500
4,Tumakuru,1238,0,0,0,0,159430
5,Chickballapura,430,0,0,0,0,22900
6,Ramanagara,912,0,0,0,0,93200
III,Eastern Range,,,,,,
1,Chitradurga,94,0,0,0,0,6700
2,Davanagere,806,0,0,0,0,76500
3,Shivamogga,217,0,0,0,0,28450
4,Haveri,495,0,0,0,0,42650
IV,Western Range,,,,,,
1,Chickmagalur,128,0,0,0,0,13200
2,D.K.,117,0,0,0,0,7510
3,Udupi,332,0,0,0,0,33000
4,U.K.,314,0,0,0,0,15640
V,Northern Range,,,,,,
1,Bagalakote,51,0,0,0,0,5100
2,Belagavi dist.,83,0,0,0,0,8300
3,Vijayapura,0,0,0,0,0,0
4,Dharwad,56,0,0,0,0,5600
5,Gadag,529,0,0,0,0,49200
VI,North Eastern Range,,,,,,
1,Bidar,25,0,0,0,0,2500
2,Kalaburgi,43,0,0,0,0,7700
3,Yadgiri,124,0,0,0,0,12300
VII,Southern Range,,,,,,
1,Chamarajanagar,885,0,0,0,0,61900
2,Hassan,268,0,0,0,0,17700
3,Kodagu,119,0,0,0,0,9900
4,Mandya,251,0,0,0,0,18050
5,Mysuru Dist.,16,0,0,0,0,1600
VIII,Ballari Range,,,,,,
1,Ballari,374,0,0,0,0,37750
2,Vijayanagara,508,0,0,0,0,50900
3,Koppal,426,0,0,0,0,41350
4,Raichur,803,0,0,0,0,89650
IX,Karnataka Railways,4,0,0,0,0,600
Total,,16016,6,41,50,15,1734505
