"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - August - 2024,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise
details of received, disposed and overdue status of services for August 2024 as on 31.08.2024 are as under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 31.08.2024"
1,Bengaluru City,18227,14683,103
2,Belagavi City,1520,1514,62
3,Hubli-Dharwad City,891,954,109
4,Mysore City,2539,2253,3
5,Mangalore City,1989,1986,23
6,Bagalkot,1007,868,12
7,Ballari,823,773,16
8,Belagavi,840,941,29
9,Bengaluru Rural,1672,1626,74
10,Bidar,810,670,23
11,Chamarajanagar,943,759,29
12,Chikkaballapura,1013,742,19
13,Chikkamagaluru,1236,878,4
14,Chitradurga,1171,1057,11
15,Dakshina Kannada,519,397,6
16,Davanagere,1317,1322,2
17,Dharwad,688,765,32
18,Gadag,470,439,0
19,Hassan,1689,1548,50
20,Haveri,698,668,8
21,Kalaburagi,953,979,9
22,Kodagu,588,457,21
23,Kolar,839,676,4
24,KGF,460,429,1
25,Koppal,524,448,4
26,Mandya,1907,1692,17
27,Mysuru,1420,1047,3
28,Raichur,749,726,9
29,Ramanagara,1626,1367,1
30,Shivamogga,1675,1438,80
31,Tumakuru,2115,1929,19
32,Udupi,1439,845,0
33,Uttara Kannada,1419,1142,4
34,VijayaNagara,627,610,3
35,Vijayapura,1125,1156,3
36,Yadgir,476,450,9
,Total,58004,50234,802
