Sl No,Unit_Name,"Chargesheet
Registered","Chargesheet
eSign","Chargesheet
%"
1,Koppal District,47,47,100.00
2,Dharwad District,49,48,97.96
3,Mysuru City,81,76,93.83
4,Chikkamagaluru District,158,147,93.04
5,Bengaluru District,218,195,89.45
6,Ramanagara District,206,173,83.98
7,Gadag District,112,94,83.93
8,Dakshina Kannada District,81,66,81.48
9,Mangalore COP,157,119,75.80
10,Chamarajanagar District,115,84,73.04
11,Belagavi District,84,51,60.71
12,Udupi District,116,67,57.76
13,Hassan District,142,80,56.34
14,Vijayapur District,66,36,54.55
15,Bagalkot District,88,43,48.86
16,Uttara Kannada District,244,106,43.44
17,Tumakuru District,241,98,40.66
18,Kalaburagi City,44,17,38.64
19,Vijayanagara District,78,30,38.46
20,Davanagere District,129,48,37.21
21,Belagavi City,20,7,35.00
22,Mandya District,261,90,34.48
23,Kolar District,63,21,33.33
24,Yadgir District,104,32,30.77
25,Bidar District,105,32,30.48
26,Ballari District,69,21,30.43
27,K.G.F District,23,7,30.43
28,Kalaburagi District,64,18,28.13
29,SP Railways,11,3,27.27
30,Bengaluru City,1567,391,24.95
31,Haveri District,50,12,24.00
32,Chitradurga District,49,10,20.41
33,Mysuru District,138,27,19.57
34,Hubballi Dharwad City,74,11,14.86
35,Raichur District,131,19,14.50
36,Shivamogga District,98,8,8.16
37,KODAGU(Madikeri) District,51,4,7.84
38,Chickballapura District,82,1,1.22
39,Coastal Security Police,3,0,0.00
Total,,5419,2339,43.16
