MAJOR HEADS FOR THE MONTH SEPTEMBER-2024,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
- DAY","BURGLARY
- NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLESTAT
ION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,13,47,10,2,34,9,50,737,4,295,52,3,66,301,98,20,33,61,1382,51,34
2,Mysuru City,1,5,0,1,2,2,9,22,1,25,12,2,8,71,3,3,1,1,10,6,2
3,Hubballi Dharwad City,1,8,1,0,8,3,2,18,2,13,5,1,10,28,5,0,3,0,11,6,4
4,Mangaluru City,1,2,1,0,2,0,2,11,0,14,1,0,13,62,4,0,22,2,8,2,1
5,Belagavi City,2,7,0,0,0,1,4,20,0,16,3,1,13,33,2,1,3,,5,2,2
6,Kalaburagi City,2,7,5,0,2,3,7,25,7,14,4,0,7,34,6,4,23,3,2,2,1
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,8,7,2,3,3,6,18,153,6,57,18,0,49,155,17,5,10,5,63,9,5
8,Ramanagara,0,4,3,0,3,4,9,30,1,47,2,0,23,94,16,5,3,5,24,10,6
9,Tumakuru,5,13,0,1,4,3,13,57,4,64,1,1,53,141,25,13,27,5,20,11,9
10,Kolar,1,4,0,0,3,2,5,19,9,29,3,0,21,39,5,6,5,1,1,5,3
11,Chickballapura,2,3,3,0,0,1,2,22,12,30,4,1,20,40,14,3,24,0,10,13,12
12,K.G.F,0,3,1,0,0,1,5,7,1,12,1,0,5,12,4,3,0,0,5,1,1
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,4,11,1,0,3,2,6,43,23,62,5,0,24,110,34,2,23,3,2,8,7
14,Davanagere,3,3,0,1,2,3,11,37,12,20,6,0,14,61,15,6,21,5,10,3,2
15,Shivamogga,2,18,2,0,2,6,15,35,16,45,2,0,20,85,16,6,14,13,7,18,15
16,Haveri,1,6,1,0,0,7,10,36,13,14,1,0,16,53,9,3,35,1,11,11,10
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,2,2,0,0,1,3,9,0,8,1,0,9,47,3,5,2,0,9,3,3
18,Udupi,0,1,0,0,0,3,5,29,3,22,4,0,12,72,4,3,10,1,12,10,4
19,Chikkamagaluru,1,11,1,0,1,1,12,19,4,42,3,0,17,52,15,5,8,0,7,12,8
20,Uttara Kannada,3,3,0,0,0,1,7,12,6,27,1,0,17,61,14,2,48,0,7,2,2
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,5,6,5,0,0,3,11,44,9,38,10,1,44,98,8,10,32,1,8,9,7
22,Bagalkot,1,5,0,0,0,4,3,24,12,10,5,1,28,37,9,6,29,0,5,7,6
23,Vijayapur,5,5,0,0,0,4,4,26,8,16,8,0,33,46,7,9,31,0,15,7,6
24,Dharwad,0,7,0,0,0,1,1,6,6,4,0,0,8,26,5,4,16,0,11,2,2
25,Gadag,1,0,0,0,1,0,0,9,8,6,1,0,7,10,4,2,6,0,2,1,0
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,2,4,1,0,3,3,8,22,7,22,8,0,24,35,3,5,47,2,1,2,2
27,Bidar,4,11,0,0,1,0,5,27,11,37,6,0,21,62,2,3,32,1,3,4,3
28,Yadgir,2,3,0,0,0,0,2,7,11,9,10,0,4,16,8,7,50,0,2,3,2
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,6,9,2,0,4,1,9,35,7,73,13,0,42,134,24,2,5,1,3,12,10
30,Mandya,0,10,1,0,5,3,4,20,26,62,9,0,36,149,23,6,19,2,3,11,10
31,Chamarajanagar,0,6,0,0,1,3,6,18,4,25,3,0,20,48,16,5,11,1,4,7,5
32,Hassan,2,10,2,1,3,3,16,32,3,79,12,0,41,132,11,10,14,3,9,12,9
33,Kodagu,1,3,1,0,0,0,4,6,1,18,0,0,3,32,4,2,1,,4,8,4
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,2,2,0,1,1,4,1,28,9,18,11,0,9,22,7,2,38,0,8,2,1
35,Koppal,4,6,1,1,0,0,3,11,5,9,4,0,17,30,9,4,41,0,1,6,3
36,Raichur,6,10,4,1,3,4,6,32,21,22,13,1,20,28,13,5,40,3,2,5,2
37,Vijayanagara,2,7,2,0,2,1,2,10,5,11,7,1,17,20,11,1,9,0,1,3,2
,Karnataka Railways,0,0,0,0,1,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,,93,269,52,12,94,93,280,1759,277,1315,249,13,791,2476,473,178,736,120,1688,286,205
