MAJOR HEADS FOR THE YEAR 2024 (UPTO SEPTEMBER),,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
- DAY","BURGLARY
- NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLESTAT
ION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,149,347,131,56,605,149,564,7515,66,2996,497,20,655,2958,1009,172,399,688,13737,454,326
2,Mysuru City,14,32,14,2,34,6,63,284,10,241,30,5,120,730,44,23,42,71,223,49,31
3,Hubballi Dharwad City,16,46,9,0,23,20,49,164,24,143,79,3,64,250,60,32,163,0,196,45,33
4,Mangaluru City,6,43,15,3,14,14,33,151,9,123,14,0,124,637,63,15,165,31,95,47,23
5,Belagavi City,12,41,6,5,25,17,69,190,42,127,45,2,106,307,42,25,83,2,74,24,14
6,Kalaburagi City,16,35,11,3,34,11,64,220,52,146,56,2,79,264,39,30,184,29,26,16,8
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,44,108,15,32,70,67,190,1211,94,469,117,3,537,1450,181,73,125,31,695,94,56
8,Ramanagara,33,53,7,11,34,29,93,367,30,411,40,1,287,927,162,44,87,27,178,92,74
9,Tumakuru,39,107,20,10,75,36,171,560,45,573,39,4,537,1417,252,97,430,81,237,133,102
10,Kolar,18,44,3,3,23,16,50,185,73,283,21,3,195,402,67,37,87,10,50,90,75
11,Chickballapura,23,38,17,4,16,23,57,227,105,356,39,2,240,411,108,32,251,9,144,141,120
12,K.G.F,7,21,5,0,3,10,54,68,10,111,6,1,50,96,39,12,12,13,82,33,28
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,24,71,13,2,21,14,79,348,173,549,96,4,302,944,329,36,425,47,56,112,82
14,Davanagere,23,67,9,6,38,23,111,306,140,245,61,3,217,562,141,48,348,40,114,80,57
15,Shivamogga,26,113,11,10,31,31,101,298,141,546,63,2,267,866,213,63,280,82,96,163,131
16,Haveri,19,47,15,4,11,27,98,364,178,181,26,1,195,417,88,37,366,20,91,92,83
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,8,23,7,1,9,6,39,140,28,142,26,0,116,550,54,24,13,2,88,58,31
18,Udupi,3,27,12,6,12,17,57,222,29,194,48,0,164,742,52,36,90,8,170,45,27
19,Chikkamagaluru,23,31,5,4,7,19,61,185,32,378,50,2,177,550,120,39,137,5,78,86,60
20,Uttara Kannada,14,41,13,3,9,14,54,133,61,297,36,0,192,563,163,41,234,10,73,64,46
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,45,83,13,5,13,21,98,331,174,364,89,2,504,924,157,69,351,11,51,94,68
22,Bagalkot,17,69,3,6,6,10,56,211,62,102,26,1,272,352,116,50,310,18,39,49,39
23,Vijayapur,45,75,16,4,9,24,75,266,101,288,76,2,282,389,99,66,386,7,59,77,58
24,Dharwad,14,21,3,2,8,6,25,73,40,90,20,1,139,216,22,32,116,1,50,33,27
25,Gadag,12,18,4,0,8,13,31,117,60,70,16,1,102,120,55,32,202,6,57,26,24
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,26,54,14,3,15,15,82,325,105,263,64,3,200,405,61,47,332,26,26,42,29
27,Bidar,25,39,8,2,9,11,91,244,116,429,101,1,228,521,41,20,312,17,37,46,30
28,Yadgir,17,44,13,0,1,12,29,136,123,164,44,0,109,214,96,40,313,8,11,40,35
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,39,47,9,0,33,26,157,324,122,643,89,2,321,1125,209,36,117,8,41,112,93
30,Mandya,17,65,3,4,26,29,96,263,61,461,53,4,381,1184,188,49,219,29,50,113,84
31,Chamarajanagar,6,38,7,1,15,6,63,113,37,288,17,3,176,388,140,30,83,12,21,73,54
32,Hassan,33,95,17,17,36,43,124,300,60,721,72,5,349,1319,197,72,124,52,109,122,95
33,Kodagu,14,27,4,2,5,16,45,72,5,212,15,0,58,308,44,34,28,6,67,63,48
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,15,38,3,2,9,13,66,279,78,163,82,1,162,254,62,27,434,10,93,43,26
35,Koppal,14,25,9,5,7,15,61,181,33,83,43,2,182,294,82,48,423,0,20,58,47
36,Raichur,28,60,14,3,16,24,60,423,164,189,91,1,229,287,142,61,593,48,15,68,53
37,Vijayanagara,11,45,8,1,8,8,40,169,73,117,54,1,146,262,87,20,372,11,16,49,42
,Karnataka Railways,11,4,0,2,26,1,0,570,0,14,0,0,1,0,5,0,0,0,0,5,1
Total,,906,2182,486,224,1344,842,3256,17535,2756,13172,2341,88,8465,23605,5029,1649,8636,1476,17265,3031,2260
