"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - September - 2024,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise details
of received, disposed and overdue status of services for September 2024 as on 30.09.2024 are as under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 30.09.2024"
1,Bengaluru City,36456,29207,179
2,Belagavi City,3536,2675,128
3,Hubli-Dharwad City,1764,1282,452
4,Mysore City,4243,3493,28
5,Mangalore City,4241,3386,38
6,Bagalkot,2439,2189,1
7,Ballari,1344,1173,6
8,Belagavi,1271,1097,4
9,Bengaluru Rural,2716,1693,20
10,Bidar,1241,1139,29
11,Chamarajanagar,1812,1482,10
12,Chikkaballapura,2219,1705,5
13,Chikkamagaluru,2080,1499,4
14,Chitradurga,2231,1717,6
15,Dakshina Kannada,751,685,0
16,Davanagere,2204,1579,0
17,Dharwad,1226,1067,54
18,Gadag,657,511,4
19,Hassan,2832,2448,15
20,Haveri,1277,1076,1
21,Kalaburagi,1460,1008,2
22,Kodagu,972,770,27
23,Kolar,1704,1249,3
24,KGF,903,631,0
25,Koppal,918,739,0
26,Mandya,3005,2257,0
27,Mysuru,2414,1640,0
28,Raichur,839,720,42
29,Ramanagara,2485,1908,0
30,Shivamogga,2494,2129,58
31,Tumakuru,3334,2824,58
32,Udupi,3140,2686,0
33,Uttara Kannada,3113,2610,1
34,VijayaNagara,983,869,3
35,Vijayapura,2314,1809,19
36,Yadgir,562,492,6
,Total,107180,85444,1203
