S.No.,District/Unit Name,Actual Strength,"Log Entered
Vehicles For
The Month","Log Not Entered
Vehicles For
The Month",Remarks
1,Bagalkot,176,176,0,
2,Ballari,156,154,2,
3,Belagavi City,228,224,4,
4,Belagavi Dist,293,232,61,
5,Bengaluru City,"3,264","1,587",1677,
6,Bengaluru Dist,239,75,164,
7,Bidar,186,103,83,
8,Chamarajanagar,138,112,26,
9,Chickballapura,132,131,1,
10,Chikkamagaluru,204,152,52,
11,Chitradurga,192,79,113,
12,Coastal Security Police,56,41,15,
13,Dakshina Kannada,173,156,17,
14,Davanagere,197,135,62,
15,Dharwad,111,103,8,
16,Gadag,178,127,51,
17,Hassan,196,196,0,
18,Haveri,166,146,20,
19,Hubballi Dharwad City,245,124,121,
20,K.G.F,83,61,22,
21,Kalaburagi,214,100,114,
22,Kalaburagi City,185,78,107,
23,Karnataka Railways,98,72,26,
24,Kodagu,149,120,29,
25,Kolar,180,107,73,
26,Koppal,136,135,1,
27,Mandya,222,163,59,
28,Mangaluru City,248,86,162,
29,Mysuru City,264,128,136,
30,Mysuru Dist,191,156,35,
31,Raichur,176,136,40,
32,Ramanagara,185,99,86,
33,Shivamogga,219,181,38,
34,Tumakuru,285,95,190,
35,Udupi,153,138,15,
,,,,,
