MAJOR HEADS FOR THE YEAR 2024 (UPTO OCTOBER),,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
- DAY","BURGLARY
- NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLESTAT
ION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,159,375,151,64,646,159,643,8207,69,3280,542,23,709,3266,1086,192,435,748,15084,497,355
2,Mysuru City,15,36,14,2,41,7,70,310,10,271,42,5,137,810,49,23,44,71,237,56,33
3,Hubballi Dharwad City,18,54,9,0,23,19,55,183,25,149,84,4,81,280,66,39,170,0,211,49,36
4,Mangaluru City,9,49,18,3,15,15,33,171,10,145,17,0,139,711,70,16,181,34,112,53,25
5,Belagavi City,13,51,7,5,27,19,73,213,47,137,47,3,111,324,46,28,91,2,85,26,15
6,Kalaburagi City,19,39,12,2,35,11,70,240,58,159,68,2,87,296,40,32,198,31,28,17,9
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,50,116,14,32,75,75,214,1349,99,527,128,4,603,1590,204,79,127,32,743,106,62
8,Ramanagara,36,57,8,12,36,33,114,406,32,444,46,1,323,1005,171,47,92,32,198,97,80
9,Tumakuru,44,112,21,11,78,45,188,618,47,629,41,4,598,1569,271,108,459,87,265,143,110
10,Kolar,21,48,3,3,24,20,59,196,83,308,22,3,215,455,75,40,101,11,53,94,79
11,Chickballapura,25,40,17,4,17,25,70,250,113,391,47,2,260,458,113,36,271,10,160,154,131
12,K.G.F,7,27,5,0,3,10,56,74,10,127,8,1,54,104,40,12,12,14,87,36,29
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,26,73,14,2,21,16,84,380,189,599,101,4,350,1027,367,43,446,51,62,124,92
14,Davanagere,26,70,10,7,44,24,129,343,149,269,65,3,242,614,155,52,377,44,117,91,66
15,Shivamogga,26,126,11,11,33,34,110,345,146,599,71,2,289,946,231,68,319,87,108,178,141
16,Haveri,20,51,15,4,11,28,109,407,181,197,29,2,210,474,94,42,406,21,99,99,90
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,8,26,7,1,10,8,48,148,28,148,27,0,125,600,65,24,13,2,93,61,33
18,Udupi,5,30,13,7,12,19,62,256,31,212,56,0,183,806,57,37,97,10,180,49,30
19,Chikkamagaluru,27,33,8,4,8,20,66,203,34,418,56,1,197,601,137,41,145,5,81,96,67
20,Uttara Kannada,15,48,13,3,11,16,59,147,64,326,39,0,208,616,183,44,267,11,89,71,52
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,51,96,15,7,15,30,110,362,195,398,97,2,564,1002,168,78,397,11,55,105,76
22,Bagalkot,17,75,4,6,7,12,67,232,72,114,30,3,299,393,127,54,330,19,43,53,43
23,Vijayapur,49,81,19,4,9,26,86,290,110,320,84,2,314,450,107,73,419,7,64,82,63
24,Dharwad,15,21,3,2,8,7,28,82,42,91,21,1,151,237,22,33,128,1,55,36,29
25,Gadag,14,18,5,0,8,13,31,132,67,83,18,1,113,134,57,33,243,7,58,29,25
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,29,60,15,3,16,20,91,357,112,290,74,4,218,461,68,51,394,31,26,44,31
27,Bidar,27,42,9,3,9,15,99,264,123,466,106,2,252,596,44,22,349,18,38,47,31
28,Yadgir,19,47,13,0,1,12,33,150,129,184,50,0,121,239,105,47,354,10,12,44,40
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,42,55,9,0,35,29,174,362,125,714,96,3,362,1291,224,40,134,9,42,115,95
30,Mandya,20,71,3,5,29,34,108,293,63,517,54,4,425,1316,203,55,227,31,55,123,91
31,Chamarajanagar,10,41,9,1,15,10,76,124,44,312,19,3,193,436,164,35,93,13,22,79,58
32,Hassan,37,100,17,18,40,47,138,340,62,782,74,5,389,1472,208,79,140,57,113,128,100
33,Kodagu,18,29,4,2,5,17,51,91,5,234,17,0,65,344,47,35,30,6,71,69,54
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,18,40,4,2,9,13,75,294,82,179,96,1,175,283,66,29,497,10,100,47,28
35,Koppal,15,31,10,5,8,18,66,197,39,88,48,2,214,327,89,50,492,0,23,58,47
36,Raichur,29,68,17,3,18,25,64,466,187,215,103,1,255,308,151,72,646,49,19,73,58
37,Vijayanagara,14,52,8,1,9,8,40,188,76,134,58,2,170,292,99,23,413,11,19,56,49
,Karnataka Railways,11,5,0,2,28,1,0,626,0,16,0,0,2,0,5,1,0,0,0,5,1
Total,,1004,2393,534,241,1439,940,3649,19296,2958,14472,2581,100,9403,26133,5474,1813,9537,1593,18907,3290,2454
