Aadhaar e-Sign details of Chargesheet for the Month of November 2024,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Mysuru City,231,208,90.04
2,Koppal District,22,19,86.36
3,Mangalore COP,105,89,84.76
4,Chikkamagaluru District,155,130,83.87
5,Dharwad District,66,55,83.33
6,Dakshina Kannada District,41,30,73.17
7,Gadag District,77,55,71.43
8,Ballari District,110,78,70.91
9,Bagalkot District,40,27,67.50
10,Kalaburagi City,45,30,66.67
11,Davanagere District,126,80,63.49
12,Tumakuru District,297,169,56.90
13,Mandya District,239,133,55.65
14,Yadgir District,91,49,53.85
15,Kolar District,55,29,52.73
16,Belagavi District,157,81,51.59
17,Udupi District,71,36,50.70
18,Bengaluru District,432,217,50.23
19,Ramanagara District,114,57,50.00
20,Vijayanagara District,163,81,49.69
21,Vijayapur District,66,32,48.48
22,Uttara Kannada District,97,46,47.42
23,Chitradurga District,86,37,43.02
24,Hassan District,199,85,42.71
25,Kalaburagi District,33,13,39.39
26,Chamarajanagar District,98,35,35.71
27,Haveri District,28,9,32.14
28,K.G.F District,45,12,26.67
29,Hubballi Dharwad City,136,36,26.47
30,Belagavi City,27,7,25.93
31,Raichur District,183,40,21.86
32,Bengaluru City,1461,317,21.70
33,SP Railways,5,1,20.00
34,Madikeri District,56,7,12.50
35,Mysuru District,152,16,10.53
36,Bidar District,72,6,8.33
37,Shivamogga District,201,13,6.47
38,Chickballapura District,177,8,4.52
Total,,5759,2373,41.21
