"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - November - 2024,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise
details of received, disposed and overdue status of services for November 2024 as on 30.11.2024 are as
under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After
due date as on
30.11.2024"
1,Bengaluru City,31407,30380,185
2,Belagavi City,3143,3095,126
3,Hubli-Dharwad City,1485,1403,160
4,Mysore City,3837,4060,69
5,Mangalore City,3506,3371,12
6,Bagalkot,1561,1553,28
7,Ballari,1487,1297,20
8,Belagavi,1600,1490,36
9,Bengaluru Rural,2637,2716,95
10,Bidar,1318,1461,86
11,Chamarajanagar,1415,1553,2
12,Chikkaballapura,1871,1961,8
13,Chikkamagaluru,2054,2151,1
14,Chitradurga,1836,1992,24
15,Dakshina Kannada,939,859,1
16,Davanagere,2217,2096,9
17,Dharwad,1194,1071,67
18,Gadag,828,943,1
19,Hassan,2617,2943,16
20,Haveri,1142,1213,45
21,Kalaburagi,1361,1482,3
22,Kodagu,1112,1082,14
23,Kolar,1469,1300,2
24,KGF,886,903,0
25,Koppal,836,846,0
26,Mandya,2465,2601,21
27,Mysuru,2214,2212,28
28,Raichur,1216,1027,18
29,Ramanagara,2189,2248,13
30,Shivamogga,2859,2349,40
31,Tumakuru,3259,3131,44
32,Udupi,2099,2344,11
33,Uttara Kannada,2720,2552,13
34,VijayaNagara,1314,1185,20
35,Vijayapura,2549,2384,19
36,Yadgir,975,577,33
,Total,97617,95831,1270
