"Unitwise Statistics of Cases Booked under COTPA Act, 2003 during the Month of
NOVEMBER- 2024",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount
Collected"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,4095,1,30,18,21,570950
2,Mysuru City,578,0,0,0,0,59250
3,Hubli-Dharwad City,160,0,0,0,0,24200
4,Mangaluru City,369,0,0,0,0,11740
5,Belagavi City,73,0,0,0,0,5500
6,Kalburgi City,0,0,0,0,0,0
II,Central Range,,,,,,
1,Bengaluru Dist.,811,0,0,0,0,74815
2,K.G.F.,161,0,0,0,0,12650
3,Kolar,724,0,0,0,0,57050
4,Tumakuru,544,0,0,0,0,63150
5,Chickballapura,397,0,0,0,0,40580
6,Ramanagara,616,0,0,0,0,61800
III,Eastern Range,,,,,,
1,Chitradurga,510,0,0,0,0,45000
2,Davanagere,682,0,0,0,0,69350
3,Shivamogga,265,0,0,0,0,21050
4,Haveri,316,0,0,0,0,29150
IV,Western Range,,,,,,
1,Chickmagalur,539,0,0,0,0,48150
2,D.K.,384,0,0,0,0,30405
3,Udupi,658,0,0,0,0,55500
4,U.K.,172,0,0,0,0,19100
V,Northern Range,,,,,,
1,Bagalakote,1126,0,0,0,0,31800
2,Belagavi dist.,749,0,0,0,0,78600
3,Vijayapura,33,0,0,0,0,3300
4,Dharwad,0,0,0,0,0,0
5,Gadag,334,0,0,0,0,32100
VI,North Eastern Range,,,,,,
1,Bidar,533,0,0,0,0,68400
2,Kalaburgi,22,0,0,0,0,4000
3,Yadgiri,559,0,0,0,0,49500
VII,Southern Range,,,,,,
1,Chamarajanagar,201,0,0,0,0,12050
2,Hassan,344,0,0,0,0,32050
3,Kodagu,93,0,0,0,0,8850
4,Mandya,809,0,0,0,0,68600
5,Mysuru Dist.,10,0,0,0,0,1000
VIII,Ballari Range,,,,,,
1,Ballari,308,0,0,0,0,2965
2,Vijayanagara,497,0,0,0,0,49100
3,Koppal,194,0,0,0,0,14900
4,Raichur,1223,0,0,0,0,126900
IX,Karnataka Railways,44,0,0,0,0,8800
Total,,19133,1,30,18,21,1892305
