SL.No,Unit_Name,"FIR
Registered",FIR eSign,Percentage
1,Chitradurga District,521,489,93.86
2,Vijayapur District,400,375,93.75
3,Koppal District,305,282,92.46
4,Bagalkot District,323,272,84.21
5,K.G.F District,109,88,80.73
6,Dharwad District,188,146,77.66
7,Kalaburagi City,210,158,75.24
8,Yadgir District,258,189,73.26
9,Ballari District,352,249,70.74
10,Chikkamagaluru District,398,272,68.34
11,Mandya District,717,429,59.83
12,Bengaluru South District,390,218,55.90
13,Belagavi City,239,132,55.23
14,Uttara Kannada District,339,183,53.98
15,SP Railways,58,31,53.45
16,Mysuru City,286,145,50.70
17,Tumakuru District,696,302,43.39
18,Vijayanagara District,223,77,34.53
19,Hubballi Dharwad City,246,84,34.15
20,Raichur District,497,161,32.39
21,Dakshina Kannada District,221,65,29.41
22,Udupi District,224,57,25.45
23,Belagavi District,1029,256,24.88
24,Bengaluru City,4983,877,17.60
25,Kolar District,275,45,16.36
26,Hassan District,558,64,11.47
27,Chamarajanagar District,245,26,10.61
28,Gadag District,196,16,8.16
29,Bengaluru District,561,39,6.95
30,Haveri District,305,20,6.56
31,Bidar District,411,25,6.08
32,Chickballapura District,318,16,5.03
33,Kalaburagi District,269,11,4.09
34,Mysuru District,612,18,2.94
35,Mangalore COP,317,4,1.26
36,Shivamogga District,634,8,1.26
37,Davanagere District,442,0,0.00
38,KODAGU(Madikeri) District,231,0,0.00
Total,,18586,5829,31.36
