SL.No,Service Name,Received,Disposed,Pending
1,Job / Service Verification,35118,20330,14788
2,"Police Verification Certificate(PVC) for Central/State Govt employees if
request is received directly by the employee / By Concerned
Department",496,234,262
3,"Police Clearance Certificate for going abroad (Visa for studies)/ Police
Clearance Certificate for Foreign Nationals",220,129,91
4,"Police verification Certificate for Coolies/Loader/Class IV Security Staff/
Supervisor at Airport (Individual applicants only)",9487,5221,4266
5,Police Verification Certificate for domestic servants/house keeping,0,0,0
6,Police Verification Certificate for Institutions/ Companies,62,29,33
7,Police verification Certificate for Marriage Alliances,13,8,5
8,"Police verification Certificate for Training Apprenticeship at Public
Undertakings /for trainees/ Workers working on daily wages at Govt.
Institutions",6762,3311,3451
9,Amplified Sound System,785,545,240
10,"Missing Report of documents, Mobile phone etc",262,39,223
11,Disposal of petitions,22,2,20
12,Locked Home Details,0,0,0
13,Senior Citizen Registration,277,0,277
14,Complaint Registration,40,5,35
15,License for Amusement,0,0,0
16,No obligation to return to India (NORI) Certificate,0,0,0
17,"NOC for petrol pump,gas agency,hotel,bar etc.",0,0,0
18,Permission for Peaceful Assembly and procession,2,0,2
19,Application for Temporary License for Sale of Crackers,0,0,0
20,"NOC for setting up of Petroleum, Diesel and Naphtha sale and
transport",0,0,0
Total,,53546,29853,23693
