MAJOR HEADS FOR THE MONTH OF DECEMBER-2024,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,DISTRICT/UNITS,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,RIOTS,"CASES OF
HURT","CRUELTY BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLES-
TATION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,7,28,14,2,26,11,56,750,1,276,32,0,85,341,76,23,32,72,1202,35,25
2,Mysuru City,3,1,1,0,2,0,4,23,0,19,3,0,11,98,5,2,4,11,8,2,2
3,Hubballi Dharwad City,2,15,3,1,4,2,4,21,2,9,5,0,14,24,1,5,116,0,17,7,2
4,Mangaluru City,0,2,2,0,3,1,2,20,1,14,3,0,14,79,6,2,19,1,9,8,4
5,Belagavi City,0,10,3,0,1,2,4,24,10,25,8,0,8,31,3,3,5,1,6,2,1
6,Kalaburagi City,3,4,1,0,0,2,9,44,4,7,9,0,10,34,5,5,17,1,3,2,1
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,7,8,0,1,5,6,22,121,8,42,12,0,55,139,13,6,12,4,43,8,7
8,Ramanagara,2,6,2,0,4,2,4,50,2,45,3,0,37,94,21,4,5,0,20,11,8
9,Tumakuru,2,11,1,2,4,3,11,56,1,63,7,1,65,177,25,7,25,8,22,17,11
10,Kolar,2,4,1,0,4,0,5,25,10,30,2,2,16,43,10,3,12,2,2,4,4
11,Chickballapura,1,5,1,2,2,0,12,21,11,36,2,0,18,47,6,4,32,1,14,12,12
12,K.G.F,5,2,0,0,2,1,3,9,0,13,2,0,4,18,2,0,2,1,11,4,3
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,1,5,1,0,2,2,9,40,12,57,13,0,28,121,12,6,27,2,5,8,5
14,Davanagere,0,10,2,0,2,6,8,42,10,30,3,0,18,63,17,2,60,6,10,8,5
15,Shivamogga,5,9,1,0,1,3,11,41,18,57,5,0,35,90,24,4,65,6,6,22,18
16,Haveri,2,3,0,0,2,1,10,35,11,18,1,0,25,53,6,3,40,1,15,13,8
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,3,2,1,0,1,3,2,10,2,22,3,0,14,63,2,2,1,0,5,4,1
18,Udupi,1,4,1,0,4,1,7,25,3,15,3,0,24,88,3,5,11,1,7,7,3
19,Chikkamagaluru,2,14,1,0,1,2,6,14,9,44,6,0,17,58,7,7,14,1,7,10,6
20,Uttara Kannada,2,2,0,0,1,0,14,11,5,22,1,0,27,58,18,5,37,2,5,3,2
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,9,17,0,0,2,5,16,42,22,23,7,0,69,124,10,5,264,2,7,15,12
22,Bagalkot,1,6,0,2,0,3,8,23,12,6,1,0,34,52,10,0,41,0,2,2,1
23,Vijayapur,5,7,4,1,1,5,8,37,8,16,12,0,44,63,7,7,82,0,8,4,2
24,Dharwad,4,3,0,0,1,1,3,15,8,13,0,0,26,27,3,2,30,0,7,3,2
25,Gadag,1,5,3,0,0,2,4,24,8,4,2,0,12,17,3,4,105,1,4,2,2
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,0,6,1,0,0,7,20,27,10,26,5,0,31,51,8,6,34,4,5,10,6
27,Bidar,1,3,0,0,1,3,11,20,4,48,12,0,37,75,4,3,72,0,2,3,2
28,Yadgir,2,5,2,0,0,1,6,28,12,17,1,0,15,23,12,4,61,1,4,3,2
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,2,6,0,0,4,2,17,59,5,64,8,0,35,164,15,3,12,1,2,8,3
30,Mandya,4,5,0,1,2,4,8,28,2,54,7,0,33,142,13,6,17,4,6,13,11
31,Chamarajanagar,1,6,0,0,1,1,4,14,5,29,3,0,19,45,14,2,11,0,1,7,4
32,Hassan,2,16,0,1,2,4,7,27,3,72,7,0,30,152,20,5,16,5,8,14,12
33,Kodagu,4,3,0,0,2,2,5,10,0,15,0,0,13,42,4,3,1,0,5,2,1
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,0,8,2,0,0,0,1,18,8,14,6,0,18,37,7,6,41,1,9,4,4
35,Koppal,1,4,1,1,1,3,4,14,7,11,4,0,25,35,7,4,34,0,3,5,4
36,Raichur,4,7,1,3,0,0,4,55,10,30,11,1,33,32,13,8,104,6,2,3,2
37,Vijayanagara,2,4,0,0,2,3,4,14,3,13,8,1,16,32,6,3,96,2,2,8,5
,Karnataka Railways,1,0,0,0,4,0,0,54,0,1,0,0,0,0,1,0,0,0,0,0,0
,Coastal Security Police,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
,CID,,,,,,,,,,,,,,,,,,,,,
,Total,94,256,50,17,94,94,333,1891,247,1300,217,5,1015,2832,419,169,1559,148,1494,293,203
