"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - December - 2024,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise
details of received, disposed and overdue status of services for December 2024 as on 31.12.2024 are as
under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 31.12.2024"
1,Bengaluru City,33352,34428,26
2,Belagavi City,4179,3869,45
3,Hubli-Dharwad City,1538,1324,136
4,Mysore City,4108,4308,15
5,Mangalore City,4026,4120,27
6,Bagalkot,1509,1565,4
7,Ballari,1279,1407,25
8,Belagavi,2064,1877,20
9,Bengaluru Rural,2374,2929,54
10,Bidar,1531,1626,18
11,Chamarajanagar,1478,1633,4
12,Chikkaballapura,1803,2132,7
13,Chikkamagaluru,2064,2069,6
14,Chitradurga,1954,2081,3
15,Dakshina Kannada,926,946,12
16,Davanagere,2205,2413,11
17,Dharwad,1297,1252,65
18,Gadag,846,866,2
19,Hassan,2782,2672,15
20,Haveri,1151,1219,7
21,Kalaburagi,1552,1413,25
22,Kodagu,1014,931,5
23,Kolar,1440,1432,14
24,KGF,819,836,9
25,Koppal,858,971,3
26,Mandya,2525,2372,45
27,Mysuru,2205,2359,27
28,Raichur,1082,1214,14
29,Ramanagara,2388,2372,22
30,Shivamogga,2991,3175,17
31,Tumakuru,3525,3470,6
32,Udupi,2197,2260,0
33,Uttara Kannada,926,946,5
34,VijayaNagara,1155,1118,18
35,Vijayapura,2316,2474,13
36,Yadgir,714,1099,17
,Total,100173,103178,742
