Aadhaar e-Sign details of Chargesheet for the Month of December 2024,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Koppal District,26,25,96.15
2,Mysuru City,100,89,89.00
3,Dharwad District,63,52,82.54
4,Chitradurga District,82,64,78.05
5,Mangalore COP,265,197,74.34
6,Chikkamagaluru District,187,137,73.26
7,Yadgir District,79,56,70.89
8,Gadag District,180,121,67.22
9,K.G.F District,32,21,65.63
10,Kalaburagi City,40,26,65.00
11,Chamarajanagar District,103,63,61.17
12,Uttara Kannada District,86,52,60.47
13,SP Railways,7,4,57.14
14,Udupi District,51,27,52.94
15,Belagavi District,256,134,52.34
16,Tumakuru District,247,124,50.20
17,Dakshina Kannada District,28,14,50.00
18,Raichur District,146,71,48.63
19,Haveri District,27,13,48.15
20,Davanagere District,120,57,47.50
21,Bagalkot District,28,13,46.43
22,Vijayapur District,61,28,45.90
23,Bengaluru District,413,173,41.89
24,Mandya District,163,67,41.10
25,Hassan District,96,38,39.58
26,Vijayanagara District,146,55,37.67
27,Hubballi Dharwad City,102,38,37.25
28,Kolar District,82,27,32.93
29,Ramanagara District,120,35,29.17
30,Kalaburagi District,65,18,27.69
31,Belagavi City,19,5,26.32
32,Bengaluru City,1403,255,18.18
33,Bidar District,67,12,17.91
34,KODAGU(Madikeri) District,30,3,10.00
35,Shivamogga District,93,6,6.45
36,Chickballapura District,59,2,3.39
37,Ballari District,57,1,1.75
38,Mysuru District,64,1,1.56
Total,,5193,2124,40.90
