"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - January - 2023,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise details
of received, disposed and overdue status of services for January 2023 as on 31.01.2023 are as under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 31.01.2023"
1,Bengaluru City,28842,27434,19
2,Belagavi City,3349,3191,23
3,Hubli-Dharwad City,1217,1127,56
4,Mysore City,4447,4463,6
5,Mangalore City,3288,3102,13
6,Bagalkot,1561,1407,284
7,Ballari,1231,1215,17
8,Belagavi,1489,1529,103
9,Bengaluru Rural,2403,2130,262
10,Bidar,1316,1125,1
11,Chamarajanagar,1382,1366,2
12,Chikkaballapura,1982,1623,1
13,Chikkamagaluru,2165,2181,6
14,Chitradurga,1410,1366,5
15,Dakshina Kannada,874,872,5
16,Davanagere,2050,1827,2
17,Dharwad,1042,1018,9
18,Gadag,583,626,1
19,Hassan,2460,2550,11
20,Haveri,1300,1368,5
21,Kalaburagi,967,1019,25
22,Kodagu,960,916,11
23,Kolar,1667,1632,39
24,KGF,792,754,11
25,Koppal,767,720,0
26,Mandya,2666,2467,47
27,Mysuru,2248,2392,54
28,Raichur,679,664,12
29,Ramanagara,2419,2253,13
30,Shivamogga,2612,2531,27
31,Tumakuru,2759,2732,13
32,Udupi,2034,2060,0
33,Uttara Kannada,2774,2492,0
34,VijayaNagara,897,893,12
35,Vijayapura,1914,1697,3
36,Yadgir,462,449,55
,Total,91008,87191,1153
