,Name of the Unit/District,FIR,,UDR,,PAR,,"Property
Seizure/PF",,"Crime Details/
Spot Mahazar",,"Arrest/
Surrender",,"Charge
Sheet",,"Final Report
B, C & UDR",,Total MoB,,"Total History
Sheet",,Total Rowdy Sheet,,"Court
Disposal",,"UI Cases
(From
2011-2022)",,"Data
Quality
(Given by
SCRB)",Total,"Previous Month
Rank",
,,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,Actual,In PIT,in PIT,,,
1,Belagavi City,2542,2542,442,442,527,527,984,984,2981,2981,1687,1687,1050,1050,493,493,2415,2415,12,12,1062,1062,303,303,1140,1140,40.000,100.000,1,tu
1,"DCP West DIV, Bengaluru
City",7708,7708,1257,1257,1468,1468,2586,2586,8194,8194,4980,4980,8194,8194,4406,4406,2954,2954,28,28,1374,1374,1411,1411,2470,2470,40.000,100.000,1,tu
1,Kalaburagi City,2750,2750,240,240,471,471,1490,1490,2814,2814,2723,2723,1365,1365,439,439,2355,2355,42,42,1410,1410,424,424,1227,1227,40.000,100.000,1,tu
1,Belagavi Dist.,7190,7190,1536,1536,1404,1404,3783,3783,7657,7657,6733,6733,3824,3824,1328,1328,3535,3535,37,37,715,715,1157,1157,2863,2863,40.000,100.000,1,tu
1,Mangaluru City,3063,3063,781,781,1284,1284,1742,1742,3640,3640,2349,2349,1484,1484,594,594,2957,2957,17,17,1530,1530,544,544,1423,1423,40.000,100.000,1,tu
1,Gadag,2263,2263,405,405,859,859,1449,1449,2647,2647,2193,2193,1331,1331,331,331,1319,1319,20,20,478,478,899,899,624,624,40.000,100.000,2,p
1,Dharwad,6705,6705,1814,1814,1924,1924,5845,5845,8516,8516,9802,9802,4789,4789,2425,2425,876,876,8,8,362,362,2689,2689,796,796,40.000,100.000,1,tu
1,"DCP Central DIV,
Bengaluru City",3733,3733,324,324,267,267,1178,1178,3707,3707,1781,1781,1434,1434,1023,1023,4308,4308,16,16,559,559,312,312,1497,1497,40.000,100.000,13,p
1,"DCP SouthEast DIV,
Bengaluru City",5850,5850,731,731,327,327,1842,1842,6502,6502,2710,2710,2315,2315,1213,1213,4858,4858,15,15,881,881,450,450,2360,2360,40.000,100.000,1,tu
2,Koppal,3552,3552,446,446,1223,1223,2237,2237,3552,3552,3379,3379,2311,2311,474,474,2002,2002,32,32,894,894,304,304,1089,1089,39.999,99.999,1,q
2,Bidar,4490,4490,488,488,1709,1709,3328,3328,4618,4618,5362,5362,2801,2801,670,670,1925,1925,45,45,935,935,1677,1677,1788,1788,39.999,99.999,1,q
2,Bagalkot,3486,3486,552,552,1434,1434,2284,2284,4034,4034,2397,2397,2563,2563,570,570,139,139,4,4,62,62,498,498,17,17,39.999,99.999,1,q
2,Kalaburgi Dist.,13844,13844,1819,1819,4210,4210,11697,11697,14519,14519,20471,20471,11157,11157,2603,2603,2272,2272,19,19,2288,2288,3256,3256,134,134,39.999,99.999,1,q
3,Dakshina Kannada,2383,2383,678,678,1356,1356,1763,1763,3021,3021,1608,1608,1396,1396,487,487,2169,2169,13,13,1286,1286,970,970,1068,1068,39.998,99.998,4,p
4,Raichur,4216,4216,399,399,861,861,3250,3250,3696,3696,2366,2366,3205,3205,723,723,2722,2722,31,31,1756,1756,994,994,909,909,39.997,99.997,8,p
5,Ballari,3739,3739,555,555,1085,1085,2871,2871,4256,4256,2235,2235,2474,2474,676,676,2275,2275,36,36,898,898,3095,3095,1096,1096,39.994,99.994,1,q
5,KGF,1525,1525,174,174,398,398,941,941,1243,1243,928,928,797,797,197,197,2016,2016,30,30,1072,1072,266,266,591,591,39.994,99.994,3,q
6,Mysuru City,4007,4007,605,605,553,553,3018,3018,3604,3604,1443,1443,1728,1728,834,834,3641,3641,28,28,1017,1017,366,366,1879,1879,39.989,99.989,5,q
7,Vijayapura,4974,4974,769,769,1493,1493,2474,2474,5702,5702,3117,3117,2524,2524,520,520,2453,2453,36,36,1501,1501,521,521,2219,2219,39.987,99.987,6,q
8,Shivamogga,7405,7405,1175,1175,1621,1621,3913,3913,8500,8500,3362,3362,3789,3789,893,893,4067,4067,81,81,1290,1290,897,897,3826,3826,39.978,99.978,11,p
9,Karnataka Railways,1467,1467,1755,1755,164,164,775,775,3222,3222,334,334,243,243,943,943,3358,3358,26,26,65,65,67,67,1152,1152,39.969,99.969,9,tu
10,Hubballi Dharwad City,3704,3704,539,539,1124,1124,2614,2614,4046,4046,4666,4666,2211,2211,636,636,3310,3310,104,104,3038,3038,784,784,1483,1483,39.959,99.959,10,tu
11,Chikkamagaluru,4636,4636,845,845,1012,1012,3415,3415,4831,4831,1975,1975,2530,2530,623,623,3555,3555,78,78,865,865,708,708,2447,2447,39.945,99.945,17,p
12,Kodagu,1958,1958,588,588,1062,1062,2672,2672,2100,2100,1135,1135,1550,1550,576,576,1098,1098,28,28,861,861,904,904,893,893,39.883,99.883,34,p
13,Chickballapura,5141,5141,534,534,990,990,3931,3931,5363,5363,6122,6122,3248,3248,595,595,2953,2953,39,39,851,851,1172,1172,1480,1480,39.864,99.864,7,q
14,Kolar,3653,3653,472,472,781,781,1487,1487,3264,3264,3117,3117,1533,1533,603,603,758,758,11,11,563,563,283,283,13,13,39.864,99.864,12,q
15,Vijayanagara,3355,3355,522,522,1357,1357,2843,2843,3742,3742,4149,4149,2350,2350,159,159,690,690,2239,2239,34,34,1133,1133,912,890,39.862,99.862,21,p
