Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of February - 2023,,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount
Collected"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,2260,0,4,0,7,394850
2,Mysuru City,141,0,0,0,0,18500
3,Hubli-Dharwad City,23,0,0,0,0,2600
4,Mangaluru City,100,0,0,0,0,10180
5,Belagavi City,575,0,0,0,0,41300
6,Kalburgi City,5,0,0,0,0,1000
II,Central Range,,,,,,
1,Bengaluru Dist.,45,0,0,0,0,4500
2,K.G.F.,308,0,0,0,0,19750
3,Kolar,208,0,0,0,0,19600
4,Tumakuru,99,0,0,0,0,9900
5,Chickballapura,100,0,0,0,0,10910
6,Ramanagara,261,0,0,0,0,27700
III,Eastern Range,,,,,,
1,Chitradurga,223,0,0,0,0,21740
2,Davanagere,174,0,0,0,0,17800
3,Shivamogga,78,0,0,0,0,8200
4,Haveri,197,0,0,0,0,18700
IV,Western Range,,,,,,
1,Chickmagalur,119,0,0,0,0,13145
2,D.K.,479,0,0,0,0,47550
3,Udupi,84,0,0,0,0,13000
4,U.K.,99,0,0,0,0,11650
V,Northern Range,,,,,,
1,Bagalkot,25,0,0,0,0,2500
2,Belagavi dist.,325,0,0,0,0,35800
3,Vijayapura,5,0,0,0,0,500
4,Dharwad,10,0,0,0,0,1000
5,Gadag,393,0,0,0,0,38000
VI,North Eastern Range,,,,,,
1,Bidar,29,0,0,0,0,4300
2,Kaburgi,37,0,0,0,0,4400
3,Yadgiri,83,0,0,0,0,7300
VII,Southern Range,,,,,,
1,Chamarajanagar,218,0,0,0,0,15600
2,Hassan,73,0,0,0,0,7000
3,Kodagu,47,0,0,0,0,4450
4,Mandya,100,0,0,0,0,10180
5,Mysuru Dist.,130,0,0,0,0,13000
VIII,Ballari Range,,,,,,
1,Ballari,205,0,0,0,0,20600
2,Vijayanagara,93,0,0,0,0,9250
3,Koppal,90,0,0,0,,9000
4,Raichur,784,0,0,0,0,65890
IX,Karnataka Railways,65,0,0,0,0,9100
Total,,8290,0,4,0,7,970445
