Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of March - 2023,,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount
Collected"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,1139,0,1,1,8,250200
2,Mysuru City,104,0,0,0,0,17000
3,Hubli-Dharwad City,1,0,0,0,0,200
4,Mangaluru City,65,0,0,0,0,4560
5,Belagavi City,335,0,0,0,0,20700
6,Kalburgi City,0,0,0,0,0,0
II,Central Range,,,,,,
1,Bengaluru Dist.,20,0,0,0,0,4000
2,K.G.F.,165,0,0,0,0,12850
3,Kolar,64,0,0,0,0,6400
4,Tumakuru,236,0,0,0,0,25000
5,Chickballapura,26,0,0,0,0,2600
6,Ramanagara,9,0,0,0,0,1800
III,Eastern Range,,,,,,
1,Chitradurga,109,0,0,0,0,8850
2,Davanagere,143,0,0,0,0,14700
3,Shivamogga,140,0,0,0,0,13400
4,Haveri,37,0,0,0,0,2500
IV,Western Range,,,,,,
1,Chickmagalur,131,0,0,0,0,15840
2,D.K.,648,0,0,0,0,66530
3,Udupi,145,0,0,0,0,19900
4,U.K.,182,0,0,0,0,27800
V,Northern Range,,,,,,
1,Bagalkot,15,0,0,0,0,1500
2,Belagavi dist.,248,0,0,0,0,27700
3,Vijayapura,0,0,0,0,0,0
4,Dharwad,0,0,0,0,0,0
5,Gadag,141,0,61,4,0,21100
VI,North Eastern Range,,,,,,
1,Bidar,4,0,0,0,0,1000
2,Kaburgi,57,0,0,0,0,8200
3,Yadgiri,55,0,0,0,0,4500
VII,Southern Range,,,,,,
1,Chamarajanagar,385,0,0,0,0,24850
2,Hassan,38,0,0,0,0,2800
3,Kodagu,67,0,0,0,0,5450
4,Mandya,127,0,0,0,0,7550
5,Mysuru Dist.,71,0,0,0,0,7400
VIII,Ballari Range,,,,,,
1,Ballari,777,0,0,0,0,77650
2,Vijayanagara,154,0,0,0,0,10500
3,Koppal,145,0,0,0,0,15000
4,Raichur,826,0,0,0,0,90950
IX,Karnataka Railways,92,0,0,0,0,11700
Total,,6901,0,62,5,8,832680
