Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of April - 2023,,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount
Collected"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,1084,2,0,0,4,174850
2,Mysuru City,35,0,0,0,0,3800
3,Hubli-Dharwad City,2,0,0,0,0,400
4,Mangaluru City,23,0,0,0,0,1520
5,Belagavi City,219,0,0,0,0,14800
6,Kalburgi City,4,,,,,800
II,Central Range,,,,,,
1,Bengaluru Dist.,66,0,0,0,0,5300
2,K.G.F.,180,0,0,0,0,11650
3,Kolar,102,0,0,0,0,9700
4,Tumakuru,13,0,0,0,0,2600
5,Chickballapura,0,0,0,0,0,0
6,Ramanagara,13,0,0,0,0,1050
III,Eastern Range,,,,,,
1,Chitradurga,35,0,0,0,0,2800
2,Davanagere,73,0,0,0,0,6800
3,Shivamogga,103,0,0,0,0,11900
4,Haveri,89,0,0,0,0,8900
IV,Western Range,,,,,,
1,Chickmagalur,60,0,0,0,0,9100
2,D.K.,149,0,0,0,0,15850
3,Udupi,176,0,0,0,0,20100
4,U.K.,71,0,0,0,0,9300
V,Northern Range,,,,,,
1,Bagalkot,0,0,0,0,0,0
2,Belagavi dist.,34,0,0,0,0,30400
3,Vijayapura,1,,,,,100
4,Dharwad,0,0,0,0,0,0
5,Gadag,570,0,61,5,0,62900
VI,North Eastern Range,,,,,,
1,Bidar,0,0,0,0,0,0
2,Kalburgi Dist,29,0,0,0,0,3300
3,Yadgiri,32,0,0,0,0,2750
VII,Southern Range,,,,,,
1,Chamarajanagar,291,0,0,0,0,17700
2,Hassan,2,0,0,0,0,200
3,Kodagu,85,0,0,0,0,6050
4,Mandya,45,0,0,0,0,4100
5,Mysuru Dist.,7,,,,,1300
VIII,Ballari Range,,,,,,
1,Ballari,235,0,0,0,0,23500
2,Vijayanagara,5,0,0,0,0,500
3,Koppal,47,0,0,0,0,4700
4,Raichur,475,0,0,0,0,47400
IX,Karnataka Railways,214,0,0,0,0,22225
Total,,4569,2,61,5,4,538345
