"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - April - 2023,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise details
of received, disposed and overdue status of services for April 2023 as on 30.04.2023 are as under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 30.04.2023"
1,Bengaluru City,23594,25057,15
2,Belagavi City,1784,2006,49
3,Hubli-Dharwad City,896,900,25
4,Mysore City,2892,3307,40
5,Mangalore City,2427,2240,1
6,Bagalkot,1079,1391,26
7,Ballari,787,819,33
8,Belagavi,1118,1064,27
9,Bengaluru Rural,1731,2084,57
10,Bidar,944,987,17
11,Chamarajanagar,1044,1088,3
12,Chikkaballapura,1199,1307,17
13,Chikkamagaluru,1565,1834,1
14,Chitradurga,1216,1348,54
15,Dakshina Kannada,630,673,6
16,Davanagere,1505,1554,1
17,Dharwad,767,881,8
18,Gadag,487,515,1
19,Hassan,1914,1958,5
20,Haveri,1058,1182,1
21,Kalaburagi,730,742,52
22,Kodagu,683,752,6
23,Kolar,1314,1334,15
24,KGF,635,602,4
25,Koppal,516,580,0
26,Mandya,2130,2462,13
27,Mysuru,1832,1938,15
28,Raichur,653,673,13
29,Ramanagara,1682,2136,33
30,Shivamogga,1974,2391,8
31,Tumakuru,2240,2220,28
32,Udupi,2059,2030,1
33,Uttara Kannada,1894,2169,1
34,VijayaNagara,795,797,7
35,Vijayapura,1124,1238,12
36,Yadgir,420,380,64
,Total,69318,74639,659
