"Comparitive Crime Statement 17 for the Years 2021, 2022, and 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,,2023 As on 31/05/2023,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,Dis/ ACQ,Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-I (IPC Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murder,1349,62,28,1260,0,7,48,0,1061,60,40,2,42,1378,49,33,1296,0,0,7,0,1122,136,2,1,28,547,0,9,538,0,0,0,0,176,360,0,0,
Attempt to murder,2455,151,9,2295,0,10,81,7,2066,75,34,6,16,2881,108,8,2765,0,2,19,6,1891,822,9,14,2,1139,11,1,1127,0,0,0,0,174,952,0,1,
C.H.Not Amounting to murder,88,8,0,80,0,0,4,0,68,6,0,0,2,91,10,2,79,0,0,0,0,51,27,0,0,1,22,0,0,22,0,0,0,0,3,19,0,0,
Dacoity,180,18,3,159,0,0,3,0,126,20,10,0,0,222,14,4,204,0,0,0,0,120,79,5,0,0,72,0,1,71,0,0,0,0,16,55,0,0,
Preparation And Assembly For Dacoity,389,0,0,389,0,1,4,0,379,4,1,0,0,293,0,0,293,0,0,2,0,266,25,0,0,0,53,0,0,53,0,0,0,0,18,35,0,0,
Robbery,979,30,22,927,0,2,14,1,703,54,152,0,1,1067,31,11,1025,0,1,4,3,633,339,41,4,0,419,2,1,416,0,0,0,0,79,337,0,0,
Chain Snatching,664,13,5,646,0,1,8,0,452,40,145,0,0,669,3,8,658,0,0,2,1,373,240,41,1,0,255,2,2,251,0,0,0,0,31,220,0,0,
H.B.T by day,805,26,2,777,0,7,10,1,376,35,345,1,2,992,25,0,967,0,1,2,0,328,415,219,2,0,385,1,0,384,0,0,0,0,22,358,4,0,
H.B.T by night,4014,40,3,3971,0,25,25,5,1540,183,2187,2,4,4434,33,3,4398,0,9,5,2,1217,1806,1356,2,1,1710,5,0,1705,0,0,0,0,82,1601,22,0,
House theft,914,51,2,861,0,4,10,5,372,13,453,3,1,1294,56,1,1237,0,3,3,3,357,297,573,1,0,714,8,0,706,0,0,0,0,46,635,24,1,
Ordinary Theft,15908,373,199,15336,0,313,211,1573,4354,232,8526,112,15,19463,412,295,18756,0,170,83,963,4842,4521,8072,98,7,7371,68,58,7245,0,3,1,8,450,6428,351,4,
Cattle thefts,412,5,3,404,0,4,4,20,180,15,179,2,0,478,8,1,469,0,0,5,9,160,141,150,2,2,117,0,0,117,0,0,0,0,4,112,1,0,
Receiving stolen Property,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
Cheating,5423,1479,152,3792,0,11,9,68,1856,1289,468,79,12,6407,1160,141,5106,1,8,8,24,1149,3613,266,33,5,2321,85,28,2208,0,0,0,0,52,2146,5,5,
Cr.Br.Trust,478,127,9,342,0,0,1,4,165,150,14,8,0,462,68,7,387,0,0,0,1,88,288,5,5,0,176,1,0,175,0,0,0,0,5,170,0,0,
C.C.Notes,33,0,0,33,0,0,0,0,17,2,14,0,0,29,0,0,29,0,0,0,0,7,14,8,0,0,9,0,0,9,0,0,0,0,3,6,0,0,
Sub Total - PART-I,34092,2383,437,31273,0,385,432,1684,13716,2178,12568,215,95,40162,1977,514,37671,1,195,140,1012,12604,12764,10747,163,46,15311,183,100,15028,0,3,1,8,1161,13435,407,11,
PART-II (IPC Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"304(A),IPC",9866,94,18,9754,2,314,416,12,7057,81,826,11,1037,11298,63,18,11217,2,151,90,5,7600,2024,537,7,803,4979,8,9,4962,0,1,0,0,649,4254,9,2,
"279,337,338 IPC",25197,197,17,24983,0,13886,214,249,9590,115,824,31,74,28929,177,20,28732,0,9808,115,197,14836,2991,709,39,37,13271,8,3,13260,0,418,4,4,2908,9903,23,0,
