Aadhaar e-Sign details of Chargesheet for the Month of May 2023,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Dakshina Kannada,8,7,87.50
2,Hubballi Dharwad City,63,51,80.95
3,Uttara Kannada,42,28,66.67
4,Chamarajanagar,29,18,62.07
5,Udupi,84,48,57.14
6,Ballari,32,16,50.00
7,Belagavi Dist,57,24,42.11
8,Davanagere,75,31,41.33
9,Haveri,21,7,33.33
10,Bagalkot,16,5,31.25
11,Mangaluru City,15,3,20.00
12,Vijayapur,5,1,20.00
13,Gadag,19,3,15.79
14,Hassan,105,15,14.29
15,Kalaburagi,8,1,12.50
16,Mysuru City,41,4,9.76
17,Koppal,53,4,7.55
18,Chickballapura,50,3,6.00
19,Dharwad,19,1,5.26
20,Tumakuru,102,5,4.90
21,Kodagu,41,2,4.88
22,Mandya,125,6,4.80
23,Raichur,85,4,4.71
24,Shivamogga,24,1,4.17
25,Bidar,44,1,2.27
26,Bengaluru City,973,4,0.41
27,Belagavi City,14,0,0.00
28,Bengaluru Dist,88,0,0.00
29,Chikkamagaluru,64,0,0.00
30,Chitradurga,7,0,0.00
31,K.G.F,11,0,0.00
32,Kalaburagi City,5,0,0.00
33,Kolar,51,0,0.00
34,Mysuru Dist,59,0,0.00
35,Ramanagara,46,0,0.00
36,Vijayanagara,16,0,0.00
38,Yadgir,50,0,0.00
TOTAL,,2547,293,11.50
