"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,,,
Unitwise - Month wise Report on Receipts & Disposals - June - 2023,,,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise details
of received, disposed and overdue status of services for June 2023 as on 30.06.2023 are as under.",,,,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 30.06.2023",,
1,Bengaluru City,31796,29095,9,,
2,Belagavi City,4191,3375,301,,
3,Hubli-Dharwad City,1188,904,0,,
4,Mysore City,4639,4099,37,,
5,Mangalore City,3017,2805,81,,
6,Bagalkot,1787,1452,7,,
7,Ballari,1177,1223,34,,
8,Belagavi,1802,1594,106,,
9,Bengaluru Rural,2788,2324,253,,
10,Bidar,1382,1281,0,,
11,Chamarajanagar,1349,1383,6,,
12,Chikkaballapura,1979,1629,4,,
13,Chikkamagaluru,2033,1999,2,,
14,Chitradurga,1886,1891,32,,
15,Dakshina Kannada,878,907,2,EEExxxipptoo,rrtt ttoo EPxDcFel
16,Davanagere,2353,1870,0,,
17,Dharwad,1018,901,0,,
18,Gadag,850,804,0,,
19,Hassan,3150,2850,39,,
20,Haveri,1371,1199,29,,
21,Kalaburagi,1277,1207,73,,
22,Kodagu,1076,1110,1,,
23,Kolar,1993,1593,41,,
24,KGF,937,776,9,,
25,Koppal,1095,819,0,,
26,Mandya,3048,2760,15,,
27,Mysuru,2178,2413,8,,
28,Raichur,936,920,17,,
29,Ramanagara,2467,2022,25,,
30,Shivamogga,3194,2467,30,,
31,Tumakuru,3436,3473,46,,
32,Udupi,1987,2015,0,,
33,Uttara Kannada,2869,2748,1,,
34,VijayaNagara,1227,1169,10,EEExxxipptoo,rrtt ttoo EPxDcFel
35,Vijayapura,2569,2284,6,,
36,Yadgir,562,550,87,,
,Total,101485,91911,1311,,
