Aadhaar e-Sign details of Chargesheet for the Month of June 2023,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Chickballapura,37,33,89.19
2,Belagavi Dist,125,106,84.80
3,Bengaluru Dist,283,229,80.92
4,Vijayapur,186,143,76.88
5,Bagalkot,55,35,63.64
6,Mysuru Dist,137,74,54.01
7,Ballari,211,107,50.71
8,Bengaluru City,107,53,49.53
9,Kalaburagi City,66,28,42.42
10,Koppal,53,22,41.51
11,Yadgir,185,73,39.46
12,Davanagere,106,30,28.30
13,Ramanagara,87,24,27.59
14,Bidar,59,16,27.12
15,Dharwad,74,14,18.92
16,Gadag,299,41,13.71
17,Mandya,132,16,12.12
18,Chitradurga,361,34,9.42
19,Tumakuru,288,26,9.03
20,Hubballi Dharwad City,220,17,7.73
21,Belagavi City,331,21,6.34
22,Kodagu,99,6,6.06
23,Karnataka Railways,203,9,4.43
24,Mysuru City,135,4,2.96
25,K.G.F,312,8,2.56
26,Hassan,205,5,2.44
27,Udupi,3081,54,1.75
28,Uttara Kannada,180,3,1.67
29,Haveri,146,2,1.37
30,Chamarajanagar,247,0,0.00
31,Dakshina Kannada,145,0,0.00
32,Chikkamagaluru,40,0,0.00
33,Mangaluru City,16,0,0.00
34,Shivamogga,54,0,0.00
35,Raichur,120,0,0.00
36,Kalaburagi,136,0,0.00
37,Kolar,96,0,0.00
38,Vijayanagara,135,0,0.00
TOTAL,,8617,1233,14.31
