Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of JUNE - 2023,,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount
Collected"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,364,31,48,142,182,1109190
2,Mysuru City,70,0,0,0,0,43800
3,Hubli-Dharwad City,290,0,0,0,0,35250
4,Mangaluru City,1295,0,0,20,0,100035
5,Belagavi City,351,0,0,0,0,21150
6,Kalburgi City,1,0,0,0,0,200
II,Central Range,,,,,,
1,Bengaluru Dist.,1277,0,0,0,0,131000
2,K.G.F.,277,0,0,0,0,23650
3,Kolar,118,0,0,0,0,11900
4,Tumakuru,41,0,0,0,0,5550
5,Chickballapura,50,0,0,0,0,4800
6,Ramanagara,255,0,0,0,0,28900
III,Eastern Range,,,,,,
1,Chitradurga,116,0,0,0,0,11600
2,Davanagere,219,0,0,0,0,21350
3,Shivamogga,1472,0,0,0,0,129050
4,Haveri,45,0,0,0,0,4050
IV,Western Range,,,,,,
1,Chickmagalur,128,0,0,0,0,15500
2,D.K.,155,0,0,0,0,16300
3,Udupi,118,0,0,0,0,15400
4,U.K.,428,0,0,0,0,47100
V,Northern Range,,,,,,
1,Bagalkot,25,0,0,0,0,2500
2,Belagavi dist.,283,0,0,0,0,31400
3,Vijayapura,150,0,0,0,0,14750
4,Dharwad,172,0,0,0,0,17150
5,Gadag,1,0,0,0,0,200
VI,North Eastern Range,,,,,,
1,Bidar,0,0,0,0,0,0
2,Kalburgi Dist,57,0,0,0,0,18900
3,Yadgiri,30,0,0,0,0,3000
VII,Southern Range,,,,,,
1,Chamarajanagar,3321,0,0,0,0,79150
2,Hassan,72,0,0,0,0,6800
3,Kodagu,136,0,0,0,0,9550
4,Mandya,543,0,0,0,0,48050
5,Mysuru Dist.,15,0,0,0,0,1500
VIII,Ballari Range,,,,,,
1,Ballari,331,0,0,0,0,39600
2,Vijayanagara,963,,,59,49,102300
3,Koppal,248,0,0,0,0,24800
4,Raichur,1158,0,0,0,0,201700
IX,Karnataka Railways,86,0,0,0,0,12100
Total,,14661,31,48,221,231,2389225
