Aadhaar e-Sign details of Chargesheet for the Month of July 2023,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Belagavi Dist,94,84,89.36
2,Udupi,145,120,82.76
3,Dakshina Kannada,20,15,75.00
4,Ballari,87,65,74.71
5,Chamarajanagar,123,86,69.92
6,Hubballi Dharwad City,70,44,62.86
7,Koppal,24,14,58.33
8,Uttara Kannada,108,60,55.56
9,Bagalkot,36,17,47.22
10,Gadag,66,20,30.30
11,Dharwad,109,33,30.28
12,Kalaburagi City,56,16,28.57
13,Davanagere,96,25,26.04
14,Haveri,20,5,25.00
15,Vijayapur,60,12,20.00
16,Mangaluru City,141,25,17.73
17,Kodagu,87,10,11.49
18,Shivamogga,156,17,10.90
19,Hassan,194,18,9.28
20,Tumakuru,189,13,6.88
21,Chikkamagaluru,134,8,5.97
22,Belagavi City,31,1,3.23
23,Mysuru Dist,159,5,3.14
24,Chickballapura,171,4,2.34
25,Bengaluru City,2495,58,2.32
26,Raichur,179,3,1.68
27,Kalaburagi,90,1,1.11
28,Bengaluru Dist,131,0,0.00
29,Bidar,84,0,0.00
30,Chitradurga,118,0,0.00
31,K.G.F,14,0,0.00
32,Karnataka Railways,4,0,0.00
33,Kolar,31,0,0.00
34,Mandya,228,0,0.00
35,Mysuru City,51,0,0.00
36,Ramanagara,78,0,0.00
37,Vijayanagara,43,0,0.00
38,Yadgir,101,0,0.00
TOTAL,,5922,779,13.15
